Pop,Quad,Var,formula,R2,pval,df,df.res
BRU,1,MaxTemp,~ mtemp_2m_1 + mtemp_Sol_2 + mtemp_2m_2 + max_Sol_1 + max_30cm_1 + max_Sol_2 + max_30cm_2 + max_2m_2 + min_Sol_1 + min_30cm_1 + min_2m_1,0.8791272777267779,8.885701903448098e-49,12,118
BRU,1,MeanTemp,~ mtemp_Sol_1 + mtemp_30cm_1 + mtemp_2m_1 + mtemp_30cm_2 + mtemp_2m_2 + max_Sol_2 + min_30cm_1 + min_2m_1,0.9241159074718139,5.7202856877209175e-64,9,121
BRU,1,MinTemp,~ mtemp_Sol_1 + mtemp_30cm_1 + mtemp_2m_1 + mtemp_30cm_2 + mtemp_2m_2 + max_Sol_2 + max_30cm_2 + max_2m_2 + min_Sol_1 + min_2m_1 + min_Sol_2,0.9318207768483258,2.445972818669732e-63,12,118
BRU,2,MaxTemp,~ mtemp_30cm_1 + mtemp_2m_1 + mtemp_Sol_2 + mtemp_30cm_2 + max_Sol_1 + max_Sol_2 + max_30cm_2 + max_2m_2 + min_Sol_1 + min_30cm_2 + min_2m_2,0.8969179803089766,8.08220504557306e-53,12,118
BRU,2,MeanTemp,~ mtemp_Sol_1 + mtemp_30cm_1 + mtemp_2m_1 + mtemp_30cm_2 + mtemp_2m_2 + max_Sol_2 + min_Sol_1 + min_30cm_1 + min_2m_1 + min_30cm_2 + min_2m_2,0.9189807387405542,6.068233336483774e-59,12,118
BRU,2,MinTemp,~ mtemp_Sol_1 + mtemp_30cm_1 + mtemp_2m_1 + mtemp_30cm_2 + mtemp_2m_2 + max_Sol_1 + max_30cm_1 + max_Sol_2 + min_2m_1,0.9114633486429186,7.990161865494619e-59,10,120
CHA,1,MaxTemp,~ mtemp_2m_1 + mtemp_Sol_2 + mtemp_2m_2 + max_Sol_1 + max_30cm_2 + min_30cm_1 + min_Sol_2,0.853075175293261,2.2644013458622644e-38,8,99
CHA,1,MeanTemp,~ mtemp_Sol_1 + mtemp_2m_1 + mtemp_30cm_2 + mtemp_2m_2 + min_Sol_1 + min_30cm_1 + min_Sol_2,0.9229609057418384,3.626806152039749e-52,8,99
CHA,1,MinTemp,~ mtemp_Sol_1 + mtemp_30cm_1 + mtemp_30cm_2 + mtemp_2m_2 + max_2m_1 + max_Sol_2 + max_2m_2 + min_2m_1 + min_30cm_2 + min_2m_2,0.8938109529047216,3.115726338304757e-42,11,96
CHA,2,MaxTemp,~ mtemp_Sol_1 + mtemp_2m_1 + mtemp_2m_2 + max_30cm_2 + min_Sol_1 + min_2m_1 + min_Sol_2,0.8170985858860449,1.0418758984406704e-33,8,99
CHA,2,MeanTemp,~ mtemp_Sol_1 + mtemp_2m_1 + mtemp_30cm_2 + mtemp_2m_2 + max_30cm_1 + max_Sol_2 + max_30cm_2 + min_30cm_1 + min_Sol_2,0.9336625051941051,4.531778018621953e-53,10,97
CHA,2,MinTemp,~ mtemp_30cm_1 + mtemp_2m_1 + mtemp_Sol_2 + max_2m_1 + max_Sol_2 + max_30cm_2 + max_2m_2 + min_Sol_1 + min_30cm_1 + min_2m_1 + min_30cm_2 + min_2m_2,0.9129561119310698,2.4494789595163284e-44,13,94
CHA,3,MaxTemp,~ mtemp_2m_1 + mtemp_Sol_2 + mtemp_2m_2 + min_Sol_1 + min_2m_1 + min_Sol_2,0.6356906625363619,2.964058390750274e-14,7,73
CHA,3,MeanTemp,~ mtemp_2m_1 + mtemp_Sol_2 + mtemp_2m_2 + max_30cm_1 + max_Sol_2 + max_30cm_2 + min_2m_1 + min_2m_2,0.9162215602618734,4.018817032822916e-35,9,71
CHA,3,MinTemp,~ mtemp_30cm_1 + mtemp_2m_1 + mtemp_Sol_2 + max_2m_1 + max_Sol_2 + max_30cm_2 + min_Sol_1 + min_2m_2,0.9436417386804976,3.3820715470722147e-41,9,71
GAL,1,MaxTemp,~ mtemp_Sol_1 + mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_Sol_1 + max_30cm_1 + max_2m_1 + max_Sol_2 + max_30cm_2 + max_2m_2 + min_30cm_1 + min_Sol_2 + min_30cm_2,0.8107818229600178,1.295857147203104e-50,14,159
GAL,1,MeanTemp,~ mtemp_30cm_1 + mtemp_Sol_2 + mtemp_30cm_2 + mtemp_2m_2 + max_2m_1 + max_Sol_2 + max_30cm_2 + max_2m_2 + min_30cm_1,0.8720382712002881,4.8563562037674756e-068,10,163
