Jour,Heure,Temp,Gel,Hum
27/10/2008,07:00:01,18.652,0,58.488
27/10/2008,09:00:01,15.647,0,66.675
27/10/2008,11:00:01,13.142,0,47.599
27/10/2008,13:00:01,14.645,0,29.296
27/10/2008,15:00:01,9.132,0,40.81
27/10/2008,17:00:01,4.617,0,97.533
27/10/2008,19:00:01,3.111,0,95.468
27/10/2008,21:00:01,2.107,0,106.493
27/10/2008,23:00:01,2.609,0,104.424
28/10/2008,01:00:01,2.609,0,113.4
28/10/2008,03:00:01,1.605,0,114.783
28/10/2008,05:00:01,1.103,0,115.474
28/10/2008,07:00:01,0.099,0,116.166
28/10/2008,09:00:01,0.601,0,116.166
28/10/2008,11:00:01,0.601,0,113.4
28/10/2008,13:00:01,1.103,0,111.327
28/10/2008,15:00:01,0.099,0,113.4
28/10/2008,17:00:01,0.099,0,114.783
28/10/2008,19:00:01,0.099,0,116.166
28/10/2008,21:00:01,0.601,0,116.858
28/10/2008,23:00:01,0.601,0,116.166
29/10/2008,01:00:01,0.601,0,115.474
29/10/2008,03:00:01,0.601,0,115.474
29/10/2008,05:00:01,0.601,0,116.858
29/10/2008,07:00:01,0.601,0,118.242
29/10/2008,09:00:01,0.601,0,118.242
29/10/2008,11:00:01,0.601,0,117.55
29/10/2008,13:00:01,0.601,0,118.242
29/10/2008,15:00:01,0.601,0,117.55
29/10/2008,17:00:01,0.601,0,117.55
29/10/2008,19:00:01,0.601,0,116.858
29/10/2008,21:00:01,0.601,0,118.242
29/10/2008,23:00:01,0.601,0,116.858
30/10/2008,01:00:01,0.601,0,118.242
30/10/2008,03:00:01,0.601,0,118.242
30/10/2008,05:00:01,0.601,0,118.242
30/10/2008,07:00:01,0.601,0,117.55
30/10/2008,09:00:01,0.601,0,116.858
30/10/2008,11:00:01,0.601,0,118.934
30/10/2008,13:00:01,0.601,0,118.242
30/10/2008,15:00:01,0.601,0,118.242
30/10/2008,17:00:01,0.601,0,117.55
30/10/2008,19:00:01,0.601,0,118.934
30/10/2008,21:00:01,0.601,0,118.242
30/10/2008,23:00:01,0.601,0,118.242
31/10/2008,01:00:01,0.601,0,118.934
31/10/2008,03:00:01,0.601,0,118.242
31/10/2008,05:00:01,0.601,0,120.319
31/10/2008,07:00:01,0.601,0,118.242
31/10/2008,09:00:01,0.601,0,118.242
31/10/2008,11:00:01,0.601,0,118.242
31/10/2008,13:00:01,0.601,0,118.934
31/10/2008,15:00:01,0.601,0,118.934
31/10/2008,17:00:01,0.601,0,118.934
31/10/2008,19:00:01,0.601,0,118.934
31/10/2008,21:00:01,0.099,0,119.626
31/10/2008,23:00:01,0.099,0,119.626
01/11/2008,01:00:01,0.099,0,119.626
01/11/2008,03:00:01,0.601,0,119.626
01/11/2008,05:00:01,0.601,0,118.934
01/11/2008,07:00:01,0.601,0,117.55
01/11/2008,09:00:01,1.103,0,115.474
01/11/2008,11:00:01,2.107,0,112.709
01/11/2008,13:00:01,2.609,0,111.327
01/11/2008,15:00:01,3.111,0,112.709
01/11/2008,17:00:01,3.613,0,110.636
01/11/2008,19:00:01,3.613,0,112.709
01/11/2008,21:00:01,3.613,0,109.945
