Jour;Heure;Temp;Gel;Hum
20/10/2008;02:00:01;18.635;0;65.673
20/10/2008;04:00:01;18.135;0;65.673
20/10/2008;06:00:01;18.135;0;67.631
20/10/2008;08:00:01;17.634;0;68.282
20/10/2008;10:00:01;18.135;0;64.365
20/10/2008;12:00:01;17.634;0;72.822
20/10/2008;14:00:01;9.119;0;99.991
20/10/2008;16:00:01;10.121;0;104.296
20/10/2008;18:00:01;9.119;0;104.296
20/10/2008;20:00:01;9.119;0;107.352
20/10/2008;22:00:01;7.615;0;107.961
21/10/2008;00:00:01;7.615;0;108.569
21/10/2008;02:00:01;7.615;0;109.177
21/10/2008;04:00:01;7.615;0;109.177
21/10/2008;06:00:01;8.117;0;109.177
21/10/2008;08:00:01;8.117;0;109.784
21/10/2008;10:00:01;8.618;0;110.996
21/10/2008;12:00:01;10.622;0;108.569
21/10/2008;14:00:01;11.124;0;107.961
21/10/2008;16:00:01;11.124;0;99.373
21/10/2008;18:00:01;10.121;0;102.455
21/10/2008;20:00:01;10.121;0;108.569
21/10/2008;22:00:01;9.62;0;109.177
22/10/2008;00:00:01;9.119;0;109.177
22/10/2008;02:00:01;9.119;0;109.784
22/10/2008;04:00:01;9.119;0;109.784
22/10/2008;06:00:01;8.618;0;110.391
22/10/2008;08:00:01;8.618;0;110.391
22/10/2008;10:00:01;8.618;0;109.784
22/10/2008;12:00:01;7.615;0;111.602
22/10/2008;14:00:01;7.114;0;109.784
22/10/2008;16:00:01;6.613;0;111.602
22/10/2008;18:00:01;5.61;0;111.602
22/10/2008;20:00:01;4.607;0;111.602
22/10/2008;22:00:01;4.105;0;112.81
23/10/2008;00:00:01;4.105;0;112.81
23/10/2008;02:00:01;4.105;0;114.015
23/10/2008;04:00:01;4.105;0;113.413
23/10/2008;06:00:01;3.604;0;113.413
23/10/2008;08:00:01;4.105;0;112.81
23/10/2008;10:00:01;4.105;0;112.81
23/10/2008;12:00:01;5.108;0;112.81
23/10/2008;14:00:01;5.61;0;109.784
23/10/2008;16:00:01;5.61;0;110.391
23/10/2008;18:00:01;5.108;0;111.602
23/10/2008;20:00:01;5.108;0;112.206
23/10/2008;22:00:01;4.607;0;111.602
24/10/2008;00:00:01;4.105;0;111.602
24/10/2008;02:00:01;3.102;0;111.602
24/10/2008;04:00:01;2.099;0;111.602
24/10/2008;06:00:01;2.099;0;112.81
24/10/2008;08:00:01;2.099;0;112.81
24/10/2008;10:00:01;2.099;0;112.81
24/10/2008;12:00:01;5.108;0;112.81
24/10/2008;14:00:01;6.111;0;112.81
24/10/2008;16:00:01;6.613;0;112.81
24/10/2008;18:00:01;7.615;0;110.996
24/10/2008;20:00:01;6.613;0;110.996
24/10/2008;22:00:01;6.111;0;112.81
25/10/2008;00:00:01;5.61;0;112.81
25/10/2008;02:00:01;5.108;0;112.81
25/10/2008;04:00:01;4.105;0;112.81
25/10/2008;06:00:01;3.604;0;114.015
25/10/2008;08:00:01;4.607;0;111.602
25/10/2008;10:00:01;5.108;0;112.206
25/10/2008;12:00:01;7.615;0;112.206
25/10/2008;14:00:01;7.615;0;109.784
25/10/2008;16:00:01;7.615;0;112.206
25/10/2008;18:00:01;6.613;0;110.391
25/10/2008;20:00:01;6.613;0;112.206
25/10/2008;22:00:01;6.111;0;111.602
26/10/2008;00:00:01;6.613;0;111.602
26/10/2008;02:00:01;6.613;0;112.206
26/10/2008;03:00:01;6.111;0;112.81
26/10/2008;05:00:01;5.61;0;112.206
26/10/2008;07:00:01;4.607;0;111.602
26/10/2008;09:00:01;3.604;0;113.413
26/10/2008;11:00:01;5.108;0;113.413
26/10/2008;13:00:01;7.114;0;112.81
26/10/2008;15:00:01;7.615;0;112.81
26/10/2008;17:00:01;7.114;0;112.81
26/10/2008;19:00:01;6.613;0;112.81
26/10/2008;21:00:01;5.61;0;112.206
26/10/2008;23:00:01;5.108;0;112.206
27/10/2008;01:00:01;4.105;0;113.413
27/10/2008;03:00:01;3.604;0;113.413
27/10/2008;05:00:01;3.102;0;114.617
27/10/2008;07:00:01;2.6;0;114.015
27/10/2008;09:00:01;4.105;0;114.015
27/10/2008;11:00:01;7.114;0;112.81
27/10/2008;13:00:01;9.119;0;110.996
27/10/2008;15:00:01;8.117;0;110.391
27/10/2008;17:00:01;7.615;0;111.602
27/10/2008;19:00:01;7.114;0;112.81
27/10/2008;21:00:01;7.114;0;112.81
27/10/2008;23:00:01;6.613;0;113.413
28/10/2008;01:00:01;7.114;0;111.602
28/10/2008;03:00:01;7.114;0;112.206
28/10/2008;05:00:01;7.114;0;112.206
28/10/2008;07:00:01;6.613;0;112.81
28/10/2008;09:00:01;6.111;0;112.81
28/10/2008;11:00:01;5.61;0;112.206
28/10/2008;13:00:01;4.607;0;114.015
28/10/2008;15:00:01;3.604;0;113.413
28/10/2008;17:00:01;3.102;0;114.015
28/10/2008;19:00:01;2.099;0;114.617
28/10/2008;21:00:01;2.6;0;113.413
28/10/2008;23:00:01;2.099;0;114.617
29/10/2008;01:00:01;1.095;0;114.617
29/10/2008;03:00:01;0.593;0;115.218
29/10/2008;05:00:01;0.091;0;115.218
29/10/2008;07:00:01;0.091;0;116.418
29/10/2008;09:00:01;0.593;0;114.617
29/10/2008;11:00:01;0.593;0;114.617
29/10/2008;13:00:01;0.593;0;115.818
29/10/2008;15:00:01;0.593;0;115.218
29/10/2008;17:00:01;0.091;0;115.218
29/10/2008;19:00:01;0.091;0;115.218
29/10/2008;21:00:01;0.091;0;115.818
29/10/2008;23:00:01;0.091;0;115.218
30/10/2008;01:00:01;0.091;0;114.617
30/10/2008;03:00:01;0.091;0;115.818
30/10/2008;05:00:01;0.091;0;115.818
30/10/2008;07:00:01;0.091;0;114.617
30/10/2008;09:00:01;0.091;0;111.602
30/10/2008;11:00:01;0.091;0;114.015
30/10/2008;13:00:01;0.091;0;115.218
30/10/2008;15:00:01;0.091;0;114.617
30/10/2008;17:00:01;0.091;0;115.218
30/10/2008;19:00:01;0.091;0;115.818
30/10/2008;21:00:01;0.091;0;115.218
30/10/2008;23:00:01;0.091;0;117.017
31/10/2008;01:00:01;0.091;0;117.017
31/10/2008;03:00:01;0.091;0;115.218
31/10/2008;05:00:01;0.091;0;115.218
31/10/2008;07:00:01;0.091;0;116.418
31/10/2008;09:00:01;0.593;0;116.418
31/10/2008;11:00:01;2.6;0;115.818
31/10/2008;13:00:01;1.597;0;115.218
31/10/2008;15:00:01;2.099;0;113.413
31/10/2008;17:00:01;3.102;0;109.177
31/10/2008;19:00:01;4.607;0;110.996
31/10/2008;21:00:01;5.108;0;106.132
31/10/2008;23:00:01;4.607;0;108.569
01/11/2008;01:00:01;6.111;0;104.909
01/11/2008;03:00:01;6.613;0;102.455
01/11/2008;05:00:01;7.615;0;90.654
01/11/2008;07:00:01;8.117;0;90.026
01/11/2008;09:00:01;8.117;0;98.135
01/11/2008;11:00:01;8.618;0;98.754
01/11/2008;13:00:01;10.622;0;88.138
01/11/2008;15:00:01;10.121;0;91.907
01/11/2008;17:00:01;8.618;0;98.135
01/11/2008;19:00:01;9.119;0;91.281
01/11/2008;21:00:01;8.618;0;95.03
01/11/2008;23:00:01;9.119;0;94.406
02/11/2008;01:00:01;8.618;0;95.652
02/11/2008;03:00:01;8.618;0;95.03
02/11/2008;05:00:01;6.613;0;104.909
02/11/2008;07:00:01;6.111;0;107.352
02/11/2008;09:00:01;7.114;0;108.569
02/11/2008;11:00:01;7.114;0;107.352
02/11/2008;13:00:01;8.117;0;100.608
02/11/2008;15:00:01;7.615;0;103.683
02/11/2008;17:00:01;8.117;0;98.135
02/11/2008;19:00:01;7.615;0;101.84
02/11/2008;21:00:01;7.615;0;111.602
02/11/2008;23:00:01;6.613;0;112.206
03/11/2008;01:00:01;6.613;0;111.602
03/11/2008;03:00:01;7.615;0;101.84
03/11/2008;05:00:01;7.114;0;102.455
03/11/2008;07:00:01;6.613;0;106.742
03/11/2008;09:00:01;7.114;0;99.991
03/11/2008;11:00:01;7.114;0;103.07
03/11/2008;13:00:01;9.119;0;98.754
03/11/2008;15:00:01;8.618;0;101.84
03/11/2008;17:00:01;8.117;0;98.135
03/11/2008;19:00:01;7.114;0;106.742
03/11/2008;21:00:01;6.613;0;108.569
03/11/2008;23:00:01;5.61;0;109.177
04/11/2008;01:00:01;5.61;0;110.996
04/11/2008;03:00:01;4.607;0;112.81
04/11/2008;05:00:01;5.108;0;110.391
04/11/2008;07:00:01;5.108;0;110.996
04/11/2008;09:00:01;5.61;0;112.206
04/11/2008;11:00:01;7.114;0;109.784
04/11/2008;13:00:01;7.615;0;108.569
04/11/2008;15:00:01;7.615;0;108.569
04/11/2008;17:00:01;6.613;0;109.177
04/11/2008;19:00:01;6.111;0;110.996
04/11/2008;21:00:01;6.111;0;111.602
04/11/2008;23:00:01;6.111;0;111.602
05/11/2008;01:00:01;5.61;0;111.602
05/11/2008;03:00:01;5.108;0;112.206
05/11/2008;05:00:01;5.108;0;112.206
05/11/2008;07:00:01;5.108;0;112.81
05/11/2008;09:00:01;6.111;0;113.413
05/11/2008;11:00:01;7.615;0;112.81
05/11/2008;13:00:01;8.117;0;102.455
05/11/2008;15:00:01;8.117;0;101.224
05/11/2008;17:00:01;7.114;0;109.177
05/11/2008;19:00:01;5.61;0;110.391
05/11/2008;21:00:01;5.108;0;110.996
05/11/2008;23:00:01;4.607;0;110.996
06/11/2008;01:00:01;4.607;0;112.206
06/11/2008;03:00:01;4.607;0;112.206
06/11/2008;05:00:01;3.604;0;112.206
06/11/2008;07:00:01;3.604;0;113.413
06/11/2008;09:00:01;3.604;0;113.413
06/11/2008;11:00:01;6.111;0;113.413
06/11/2008;13:00:01;7.114;0;109.177
06/11/2008;15:00:01;7.114;0;109.177
06/11/2008;17:00:01;6.613;0;110.996
06/11/2008;19:00:01;6.111;0;112.206
06/11/2008;21:00:01;5.61;0;112.81
06/11/2008;23:00:01;5.61;0;112.81
07/11/2008;01:00:01;5.61;0;112.206
07/11/2008;03:00:01;5.108;0;112.206
07/11/2008;05:00:01;5.108;0;112.81
07/11/2008;07:00:01;4.607;0;112.81
07/11/2008;09:00:01;4.607;0;113.413
07/11/2008;11:00:01;5.61;0;110.996
07/11/2008;13:00:01;7.114;0;112.206
07/11/2008;15:00:01;7.615;0;110.996
07/11/2008;17:00:01;5.61;0;110.391
07/11/2008;19:00:01;4.105;0;112.206
07/11/2008;21:00:01;2.6;0;112.206
07/11/2008;23:00:01;3.102;0;113.413
08/11/2008;01:00:01;2.099;0;113.413
08/11/2008;03:00:01;1.597;0;113.413
08/11/2008;05:00:01;0.593;0;114.015
08/11/2008;07:00:01;1.095;0;115.218
08/11/2008;09:00:01;1.597;0;115.218
08/11/2008;11:00:01;2.6;0;114.617
08/11/2008;13:00:01;6.111;0;113.413
08/11/2008;15:00:01;6.111;0;112.206
08/11/2008;17:00:01;6.111;0;112.81
08/11/2008;19:00:01;5.108;0;113.413
08/11/2008;21:00:01;4.105;0;112.81
08/11/2008;23:00:01;3.604;0;112.206
09/11/2008;01:00:01;2.6;0;113.413
09/11/2008;03:00:01;2.099;0;113.413
09/11/2008;05:00:01;2.099;0;114.617
09/11/2008;07:00:01;3.102;0;114.015
09/11/2008;09:00:01;4.105;0;113.413
09/11/2008;11:00:01;6.111;0;112.81
09/11/2008;13:00:01;8.117;0;111.602
09/11/2008;15:00:01;7.114;0;109.177
09/11/2008;17:00:01;6.613;0;111.602
09/11/2008;19:00:01;5.108;0;112.81
09/11/2008;21:00:01;4.105;0;113.413
09/11/2008;23:00:01;3.102;0;112.81
10/11/2008;01:00:01;2.099;0;113.413
10/11/2008;03:00:01;1.597;0;114.015
10/11/2008;05:00:01;0.593;0;115.218
10/11/2008;07:00:01;0.593;0;114.617
10/11/2008;09:00:01;0.593;0;115.218
10/11/2008;11:00:01;2.099;0;115.818
10/11/2008;13:00:01;6.111;0;113.413
10/11/2008;15:00:01;6.613;0;110.391
10/11/2008;17:00:01;6.111;0;110.996
10/11/2008;19:00:01;4.607;0;110.391
10/11/2008;21:00:01;3.604;0;111.602
10/11/2008;23:00:01;2.6;0;112.81
11/11/2008;01:00:01;2.6;0;114.015
11/11/2008;03:00:01;4.607;0;114.015
11/11/2008;05:00:01;3.604;0;112.81
11/11/2008;07:00:01;5.108;0;113.413
11/11/2008;09:00:01;5.61;0;111.602
11/11/2008;11:00:01;6.613;0;112.81
11/11/2008;13:00:01;7.114;0;112.206
11/11/2008;15:00:01;7.114;0;112.81
11/11/2008;17:00:01;6.613;0;113.413
11/11/2008;19:00:01;6.111;0;112.81
11/11/2008;21:00:01;6.111;0;113.413
11/11/2008;23:00:01;5.61;0;113.413
12/11/2008;01:00:01;4.607;0;114.015
12/11/2008;03:00:01;4.105;0;114.015
12/11/2008;05:00:01;4.105;0;114.617
12/11/2008;07:00:01;4.105;0;114.015
12/11/2008;09:00:01;4.105;0;115.218
12/11/2008;11:00:01;4.607;0;113.413
12/11/2008;13:00:01;5.108;0;113.413
12/11/2008;15:00:01;4.607;0;113.413
12/11/2008;17:00:01;4.105;0;114.015
12/11/2008;19:00:01;3.102;0;115.818
12/11/2008;21:00:01;2.6;0;114.617
12/11/2008;23:00:01;2.099;0;115.218
13/11/2008;01:00:01;2.099;0;114.617
13/11/2008;03:00:01;2.099;0;115.818
13/11/2008;05:00:01;2.6;0;115.218
13/11/2008;07:00:01;2.6;0;114.617
13/11/2008;09:00:01;2.6;0;115.218
13/11/2008;11:00:01;2.6;0;114.617
13/11/2008;13:00:01;3.102;0;114.617
13/11/2008;15:00:01;3.102;0;113.413
13/11/2008;17:00:01;3.102;0;113.413
13/11/2008;19:00:01;3.102;0;112.206
13/11/2008;21:00:01;3.102;0;112.81
13/11/2008;23:00:01;3.102;0;112.206
14/11/2008;01:00:01;2.6;0;110.391
14/11/2008;03:00:01;2.6;0;110.996
14/11/2008;05:00:01;2.6;0;111.602
14/11/2008;07:00:01;2.6;0;110.996
14/11/2008;09:00:01;2.6;0;110.996
14/11/2008;11:00:01;3.102;0;110.996
14/11/2008;13:00:01;3.604;0;110.391
14/11/2008;15:00:01;3.604;0;109.784
14/11/2008;17:00:01;3.102;0;110.391
14/11/2008;19:00:01;3.102;0;112.206
14/11/2008;21:00:01;3.102;0;112.206
14/11/2008;23:00:01;2.6;0;112.81
15/11/2008;01:00:01;3.102;0;112.81
15/11/2008;03:00:01;3.102;0;112.81
15/11/2008;05:00:01;3.102;0;113.413
15/11/2008;07:00:01;2.6;0;112.81
15/11/2008;09:00:01;2.6;0;112.81
15/11/2008;11:00:01;3.102;0;112.206
15/11/2008;13:00:01;3.102;0;110.996
15/11/2008;15:00:01;3.102;0;109.784
15/11/2008;17:00:01;2.6;0;112.206
15/11/2008;19:00:01;2.6;0;114.015
15/11/2008;21:00:01;2.6;0;112.206
15/11/2008;23:00:01;2.099;0;112.81
16/11/2008;01:00:01;2.099;0;112.81
16/11/2008;03:00:01;2.099;0;112.81
16/11/2008;05:00:01;2.099;0;114.015
16/11/2008;07:00:01;2.099;0;112.206
16/11/2008;09:00:01;2.099;0;112.81
16/11/2008;11:00:01;3.102;0;110.391
16/11/2008;13:00:01;2.6;0;110.391
16/11/2008;15:00:01;2.6;0;110.996
16/11/2008;17:00:01;3.102;0;112.81
16/11/2008;19:00:01;2.6;0;112.81
16/11/2008;21:00:01;2.6;0;113.413
16/11/2008;23:00:01;3.102;0;112.206
17/11/2008;01:00:01;3.102;0;112.206
17/11/2008;03:00:01;3.102;0;112.81
17/11/2008;05:00:01;3.604;0;113.413
17/11/2008;07:00:01;4.607;0;110.391
17/11/2008;09:00:01;4.607;0;109.177
17/11/2008;11:00:01;5.61;0;107.961
17/11/2008;13:00:01;5.108;0;106.132
17/11/2008;15:00:01;5.108;0;106.132
17/11/2008;17:00:01;5.108;0;109.784
17/11/2008;19:00:01;4.607;0;110.996
17/11/2008;21:00:01;4.105;0;112.206
17/11/2008;23:00:01;3.604;0;112.206
18/11/2008;01:00:01;2.6;0;113.413
18/11/2008;03:00:01;2.6;0;113.413
18/11/2008;05:00:01;2.099;0;112.206
18/11/2008;07:00:01;2.099;0;112.81
18/11/2008;09:00:01;2.6;0;114.617
18/11/2008;11:00:01;3.604;0;112.206
18/11/2008;13:00:01;4.607;0;110.996
18/11/2008;15:00:01;5.108;0;109.177
18/11/2008;17:00:01;4.607;0;110.996
18/11/2008;19:00:01;1.597;0;109.784
18/11/2008;21:00:01;0.593;0;112.206
18/11/2008;23:00:01;-0.411;1;112.81
19/11/2008;01:00:01;0.091;0;112.206
19/11/2008;03:00:01;0.091;0;111.602
19/11/2008;05:00:01;0.091;0;111.602
19/11/2008;07:00:01;0.091;0;113.413
19/11/2008;09:00:01;0.091;0;114.617
19/11/2008;11:00:01;1.095;0;115.818
19/11/2008;13:00:01;2.099;0;115.818
19/11/2008;15:00:01;3.604;0;107.961
19/11/2008;17:00:01;3.102;0;110.391
19/11/2008;19:00:01;2.6;0;112.81
19/11/2008;21:00:01;2.6;0;112.81
19/11/2008;23:00:01;1.095;0;110.391
20/11/2008;01:00:01;0.091;0;113.413
20/11/2008;03:00:01;0.091;0;114.015
20/11/2008;05:00:01;0.091;0;112.81
20/11/2008;07:00:01;0.091;0;112.206
20/11/2008;09:00:01;0.091;0;112.81
20/11/2008;11:00:01;0.593;0;115.818
20/11/2008;13:00:01;2.6;0;114.617
20/11/2008;15:00:01;3.102;0;110.391
20/11/2008;17:00:01;2.6;0;111.602
20/11/2008;19:00:01;2.099;0;110.996
20/11/2008;21:00:01;1.597;0;110.391
20/11/2008;23:00:01;0.091;0;114.015
21/11/2008;01:00:01;1.095;0;112.81
21/11/2008;03:00:01;1.095;0;114.015
21/11/2008;05:00:01;1.095;0;114.015
21/11/2008;07:00:01;1.095;0;114.015
21/11/2008;09:00:01;2.099;0;115.218
21/11/2008;11:00:01;3.604;0;114.015
21/11/2008;13:00:01;4.607;0;114.617
21/11/2008;15:00:01;5.61;0;113.413
21/11/2008;17:00:01;5.108;0;115.218
21/11/2008;19:00:01;5.108;0;112.81
21/11/2008;21:00:01;3.102;0;114.617
21/11/2008;23:00:01;1.597;0;114.617
22/11/2008;01:00:01;0.593;0;115.818
22/11/2008;03:00:01;0.091;0;115.218
22/11/2008;05:00:01;0.091;0;117.017
22/11/2008;07:00:01;0.091;0;113.413
22/11/2008;09:00:01;-0.411;1;106.742
22/11/2008;11:00:01;-0.411;1;103.07
22/11/2008;13:00:01;-0.411;1;96.274
22/11/2008;15:00:01;-0.912;1;98.754
22/11/2008;17:00:01;-1.916;1;98.135
22/11/2008;19:00:01;-2.418;1;107.352
22/11/2008;21:00:01;-2.418;1;109.177
22/11/2008;23:00:01;-2.418;1;110.996
23/11/2008;01:00:01;-2.418;1;103.07
23/11/2008;03:00:01;-2.921;1;110.996
23/11/2008;05:00:01;-3.423;1;104.296
23/11/2008;07:00:01;-3.423;1;107.961
23/11/2008;09:00:01;-3.925;1;104.296
23/11/2008;11:00:01;-4.427;1;104.296
23/11/2008;13:00:01;-3.925;1;106.742
23/11/2008;15:00:01;-3.423;1;105.521
23/11/2008;17:00:01;-1.916;1;104.909
23/11/2008;19:00:01;-1.916;1;106.132
23/11/2008;21:00:01;-1.414;1;110.996
23/11/2008;23:00:01;0.593;0;115.218
24/11/2008;01:00:01;0.091;0;116.418
24/11/2008;03:00:01;0.091;0;115.218
24/11/2008;05:00:01;0.091;0;115.218
24/11/2008;07:00:01;0.091;0;115.818
24/11/2008;09:00:01;0.091;0;115.818
24/11/2008;11:00:01;0.091;0;115.218
24/11/2008;13:00:01;0.091;0;115.818
24/11/2008;15:00:01;0.091;0;116.418
24/11/2008;17:00:01;0.091;0;116.418
24/11/2008;19:00:01;0.091;0;115.818
