Jour;Heure;Temp;Gel;Hum
09/10/2008;23:59:01;14.649;0;59.859
10/10/2008;01:59:01;14.649;0;57.938
10/10/2008;03:59:01;14.649;0;56.648
10/10/2008;05:59:01;14.649;0;55.351
10/10/2008;07:59:01;11.139;0;50.093
10/10/2008;09:59:01;1.098;0;91.204
10/10/2008;11:59:01;2.606;0;89.01
10/10/2008;13:59:01;3.108;0;84.538
10/10/2008;15:59:01;3.611;0;79.954
10/10/2008;17:59:01;3.611;0;83.971
10/10/2008;19:59:01;1.601;0;92.29
10/10/2008;21:59:01;1.098;0;99.18
10/10/2008;23:59:01;0.596;0;103.273
11/10/2008;01:59:01;0.596;0;106.268
11/10/2008;03:59:01;0.093;0;106.268
11/10/2008;05:59:01;-0.41;1;106.761
11/10/2008;07:59:01;0.093;0;102.767
11/10/2008;09:59:01;1.098;0;93.906
11/10/2008;11:59:01;2.606;0;79.954
11/10/2008;13:59:01;2.606;0;79.374
11/10/2008;15:59:01;2.606;0;76.443
11/10/2008;17:59:01;1.601;0;79.954
11/10/2008;19:59:01;1.098;0;90.658
11/10/2008;21:59:01;0.596;0;101.751
11/10/2008;23:59:01;0.093;0;105.277
12/10/2008;01:59:01;0.093;0;105.277
12/10/2008;03:59:01;0.093;0;104.278
12/10/2008;05:59:01;0.093;0;85.667
12/10/2008;07:59:01;1.098;0;83.403
12/10/2008;09:59:01;2.606;0;82.833
12/10/2008;11:59:01;4.113;0;73.468
12/10/2008;13:59:01;5.62;0;74.663
12/10/2008;15:59:01;6.122;0;75.851
12/10/2008;17:59:01;4.113;0;84.538
12/10/2008;19:59:01;3.108;0;89.01
12/10/2008;21:59:01;3.108;0;91.748
12/10/2008;23:59:01;2.606;0;90.11
13/10/2008;01:59:01;3.108;0;91.748
13/10/2008;03:59:01;3.611;0;93.369
13/10/2008;05:59:01;4.615;0;99.698
13/10/2008;07:59:01;4.113;0;104.778
13/10/2008;09:59:01;4.615;0;105.773
13/10/2008;11:59:01;6.122;0;104.778
13/10/2008;13:59:01;7.628;0;98.66
13/10/2008;15:59:01;7.126;0;93.369
13/10/2008;17:59:01;6.122;0;101.751
13/10/2008;19:59:01;4.615;0;103.776
13/10/2008;21:59:01;4.113;0;100.214
13/10/2008;23:59:01;3.611;0;100.728
14/10/2008;01:59:01;3.611;0;103.776
14/10/2008;03:59:01;4.113;0;101.751
14/10/2008;05:59:01;3.611;0;97.616
14/10/2008;07:59:01;3.108;0;101.24
14/10/2008;09:59:01;4.615;0;100.728
14/10/2008;11:59:01;5.62;0;98.139
14/10/2008;13:59:01;6.122;0;94.975
14/10/2008;15:59:01;6.122;0;96.037
14/10/2008;17:59:01;5.117;0;101.751
14/10/2008;19:59:01;4.113;0;103.273
14/10/2008;21:59:01;4.113;0;105.773
14/10/2008;23:59:01;3.108;0;103.776
15/10/2008;01:59:01;2.606;0;104.278
15/10/2008;03:59:01;2.606;0;98.139
15/10/2008;05:59:01;2.606;0;97.616
15/10/2008;07:59:01;3.108;0;90.11
15/10/2008;09:59:01;3.611;0;96.565
15/10/2008;11:59:01;4.615;0;95.507
15/10/2008;13:59:01;5.117;0;92.29
15/10/2008;15:59:01;4.615;0;89.561
15/10/2008;17:59:01;4.615;0;89.561
15/10/2008;19:59:01;3.108;0;88.457
15/10/2008;21:59:01;2.606;0;92.83
15/10/2008;23:59:01;1.098;0;105.277
16/10/2008;01:59:01;1.098;0;105.277
16/10/2008;03:59:01;1.098;0;100.214
16/10/2008;05:59:01;0.093;0;105.277
16/10/2008;07:59:01;0.093;0;104.278
16/10/2008;09:59:01;2.606;0;96.037
16/10/2008;11:59:01;3.108;0;95.507
16/10/2008;13:59:01;4.113;0;96.037
16/10/2008;15:59:01;2.606;0;101.24
16/10/2008;17:59:01;2.103;0;104.778
16/10/2008;19:59:01;1.601;0;104.278
16/10/2008;21:59:01;1.601;0;104.278
16/10/2008;23:59:01;0.596;0;106.761
17/10/2008;01:59:01;0.596;0;107.743
17/10/2008;03:59:01;-0.41;1;107.253
17/10/2008;05:59:01;-0.41;1;107.743
17/10/2008;07:59:01;-0.912;1;106.761
17/10/2008;09:59:01;-0.41;1;78.207
17/10/2008;11:59:01;0.596;0;74.663
17/10/2008;13:59:01;1.601;0;77.62
17/10/2008;15:59:01;1.098;0;104.778
17/10/2008;17:59:01;1.098;0;89.561
17/10/2008;19:59:01;0.093;0;99.18
17/10/2008;21:59:01;-0.41;1;105.277
17/10/2008;23:59:01;0.093;0;107.743
18/10/2008;01:59:01;0.093;0;106.761
18/10/2008;03:59:01;0.093;0;107.253
18/10/2008;05:59:01;0.093;0;107.743
18/10/2008;07:59:01;0.093;0;107.743
18/10/2008;09:59:01;0.093;0;108.23
18/10/2008;11:59:01;1.098;0;108.23
18/10/2008;13:59:01;2.606;0;98.66
18/10/2008;15:59:01;2.606;0;96.565
18/10/2008;17:59:01;2.103;0;99.18
18/10/2008;19:59:01;0.093;0;103.776
18/10/2008;21:59:01;-0.41;1;104.278
18/10/2008;23:59:01;-0.41;1;104.278
19/10/2008;01:59:01;-0.41;1;104.278
19/10/2008;03:59:01;-0.41;1;99.18
