Jour;Heure;Temp;Gel;Hum
09/10/2008;12:01:01;12.668;0;61.288
09/10/2008;14:01:01;8.149;0;81.736
09/10/2008;16:01:01;8.652;0;78.864
09/10/2008;18:01:01;5.134;0;97.989
09/10/2008;20:01:01;3.625;0;101.54
09/10/2008;22:01:01;3.122;0;102.04
10/10/2008;00:01:01;2.116;0;104.511
10/10/2008;02:01:01;1.612;0;105
10/10/2008;04:01:01;2.619;0;104.511
10/10/2008;06:01:01;2.116;0;104.021
10/10/2008;08:01:01;1.612;0;104.021
10/10/2008;10:01:01;2.619;0;102.538
10/10/2008;12:01:01;11.664;0;80.018
10/10/2008;14:01:01;10.158;0;72.382
10/10/2008;16:01:01;8.149;0;81.165
10/10/2008;18:01:01;5.134;0;95.397
10/10/2008;20:01:01;4.128;0;100.535
10/10/2008;22:01:01;3.122;0;102.538
11/10/2008;00:01:01;2.619;0;104.021
11/10/2008;02:01:01;2.619;0;104.511
11/10/2008;04:01:01;2.116;0;105
11/10/2008;06:01:01;1.612;0;105.972
11/10/2008;08:01:01;1.612;0;106.455
11/10/2008;10:01:01;2.619;0;103.528
11/10/2008;12:01:01;10.66;0;81.165
11/10/2008;14:01:01;7.647;0;85.678
11/10/2008;16:01:01;7.144;0;84.561
11/10/2008;18:01:01;4.631;0;91.689
11/10/2008;20:01:01;2.619;0;97.989
11/10/2008;22:01:01;2.619;0;102.04
12/10/2008;00:01:01;2.116;0;104.511
12/10/2008;02:01:01;2.619;0;106.455
12/10/2008;04:01:01;2.116;0;105.972
12/10/2008;06:01:01;2.116;0;105.487
12/10/2008;08:01:01;1.612;0;105.487
12/10/2008;10:01:01;4.631;0;96.958
12/10/2008;12:01:01;10.66;0;75.356
12/10/2008;14:01:01;11.664;0;65.053
12/10/2008;16:01:01;11.664;0;65.053
12/10/2008;18:01:01;7.144;0;90.613
12/10/2008;20:01:01;4.631;0;99.522
12/10/2008;22:01:01;4.128;0;100.535
13/10/2008;00:01:01;4.631;0;97.989
13/10/2008;02:01:01;4.128;0;100.029
13/10/2008;04:01:01;5.134;0;99.522
13/10/2008;06:01:01;6.642;0;104.511
13/10/2008;08:01:01;6.642;0;105.487
13/10/2008;10:01:01;8.149;0;106.936
13/10/2008;12:01:01;11.162;0;102.04
13/10/2008;14:01:01;12.166;0;90.613
13/10/2008;16:01:01;12.668;0;83.436
13/10/2008;18:01:01;9.656;0;99.522
13/10/2008;20:01:01;8.149;0;103.528
13/10/2008;22:01:01;6.139;0;104.021
14/10/2008;00:01:01;5.134;0;105
14/10/2008;02:01:01;5.134;0;105.487
14/10/2008;04:01:01;4.631;0;106.936
14/10/2008;06:01:01;4.128;0;106.455
14/10/2008;08:01:01;3.625;0;105.487
14/10/2008;10:01:01;5.134;0;105
14/10/2008;12:01:01;11.664;0;92.224
14/10/2008;14:01:01;12.668;0;75.945
14/10/2008;16:01:01;11.664;0;82.305
14/10/2008;18:01:01;9.154;0;98.502
14/10/2008;20:01:01;7.144;0;104.021
14/10/2008;22:01:01;7.647;0;104.511
15/10/2008;00:01:01;5.134;0;105.487
15/10/2008;02:01:01;4.631;0;106.455
15/10/2008;04:01:01;4.128;0;106.936
15/10/2008;06:01:01;3.122;0;106.936
15/10/2008;08:01:01;3.625;0;106.936
15/10/2008;10:01:01;5.134;0;105.972
15/10/2008;12:01:01;10.158;0;93.819
15/10/2008;14:01:01;9.154;0;86.788
15/10/2008;16:01:01;8.149;0;92.224
15/10/2008;18:01:01;7.144;0;95.919
15/10/2008;20:01:01;4.631;0;103.034
15/10/2008;22:01:01;4.631;0;104.511
16/10/2008;00:01:01;4.128;0;105
16/10/2008;02:01:01;4.128;0;105
16/10/2008;04:01:01;3.122;0;106.455
16/10/2008;06:01:01;2.619;0;106.455
16/10/2008;08:01:01;2.116;0;107.415
16/10/2008;10:01:01;6.642;0;105.487
16/10/2008;12:01:01;7.144;0;96.958
16/10/2008;14:01:01;9.154;0;87.34
16/10/2008;16:01:01;6.642;0;102.04
16/10/2008;18:01:01;5.637;0;105.487
16/10/2008;20:01:01;5.134;0;105.972
16/10/2008;22:01:01;5.134;0;106.455
17/10/2008;00:01:01;4.631;0;106.455
17/10/2008;02:01:01;4.631;0;107.415
17/10/2008;04:01:01;4.128;0;106.936
17/10/2008;06:01:01;3.625;0;107.893
17/10/2008;08:01:01;2.619;0;107.415
17/10/2008;10:01:01;3.625;0;106.936
17/10/2008;12:01:01;4.631;0;105
