Jour;Heure;Temp;Gel;Hum
10/10/2008;00:00:01;14.659;0;61.263
10/10/2008;02:00:01;14.659;0;60.614
10/10/2008;04:00:01;14.659;0;59.31
10/10/2008;06:00:01;14.659;0;57.342
10/10/2008;08:00:01;10.141;0;52.69
10/10/2008;10:00:01;12.652;0;48.638
10/10/2008;12:00:01;14.157;0;63.844
10/10/2008;14:00:01;12.652;0;60.614
10/10/2008;16:00:01;10.141;0;60.614
10/10/2008;18:00:01;5.114;0;81.159
10/10/2008;20:00:01;1.087;0;95.508
10/10/2008;22:00:01;0.08;0;105.19
11/10/2008;00:00:01;0.08;0;106.232
11/10/2008;02:00:01;0.08;0;107.267
11/10/2008;04:00:01;-0.424;1;108.296
11/10/2008;06:00:01;-1.432;1;107.267
11/10/2008;08:00:01;1.087;0;108.296
11/10/2008;10:00:01;16.164;0;50.671
11/10/2008;12:00:01;12.652;0;49.995
11/10/2008;14:00:01;11.146;0;52.019
11/10/2008;16:00:01;8.131;0;57.342
11/10/2008;18:00:01;3.605;0;67.033
11/10/2008;20:00:01;0.583;0;91.596
11/10/2008;22:00:01;-0.424;1;102.023
12/10/2008;00:00:01;-0.928;1;107.783
12/10/2008;02:00:01;-0.424;1;86.446
12/10/2008;04:00:01;-0.928;1;75.737
12/10/2008;06:00:01;-0.928;1;70.179
12/10/2008;08:00:01;2.598;0;93.283
12/10/2008;10:00:01;17.166;0;52.69
12/10/2008;12:00:01;14.659;0;49.317
12/10/2008;14:00:01;10.644;0;59.963
12/10/2008;16:00:01;13.656;0;52.019
12/10/2008;18:00:01;7.126;0;71.426
12/10/2008;20:00:01;3.101;0;88.751
12/10/2008;22:00:01;2.598;0;94.954
13/10/2008;00:00:01;2.094;0;93.283
13/10/2008;02:00:01;2.598;0;94.399
13/10/2008;04:00:01;3.101;0;95.508
13/10/2008;06:00:01;3.605;0;104.666
13/10/2008;08:00:01;3.605;0;106.75
13/10/2008;10:00:01;5.114;0;106.75
13/10/2008;12:00:01;7.629;0;106.75
13/10/2008;14:00:01;8.634;0;106.232
13/10/2008;16:00:01;10.141;0;78.766
13/10/2008;18:00:01;6.623;0;99.878
13/10/2008;20:00:01;4.108;0;104.666
13/10/2008;22:00:01;2.094;0;104.141
14/10/2008;00:00:01;1.087;0;107.267
14/10/2008;02:00:01;1.591;0;100.417
14/10/2008;04:00:01;0.583;0;107.267
14/10/2008;06:00:01;1.087;0;105.19
14/10/2008;08:00:01;0.583;0;108.808
14/10/2008;10:00:01;19.17;0;59.963
14/10/2008;12:00:01;14.659;0;65.125
14/10/2008;14:00:01;14.659;0;65.763
14/10/2008;16:00:01;11.648;0;75.126
14/10/2008;18:00:01;7.629;0;88.178
14/10/2008;20:00:01;3.101;0;102.555
14/10/2008;22:00:01;1.591;0;102.555
15/10/2008;00:00:01;0.583;0;105.712
15/10/2008;02:00:01;1.087;0;103.085
15/10/2008;04:00:01;0.583;0;100.954
15/10/2008;06:00:01;0.583;0;98.796
15/10/2008;08:00:01;0.583;0;102.555
15/10/2008;10:00:01;18.67;0;51.346
15/10/2008;12:00:01;16.665;0;55.358
15/10/2008;14:00:01;15.161;0;56.021
15/10/2008;16:00:01;11.648;0;62.557
15/10/2008;18:00:01;6.12;0;80.564
15/10/2008;20:00:01;1.591;0;96.61
15/10/2008;22:00:01;0.583;0;102.023
16/10/2008;00:00:01;0.08;0;98.252
16/10/2008;02:00:01;0.08;0;96.06
16/10/2008;04:00:01;-0.424;1;97.706
16/10/2008;06:00:01;-0.928;1;98.796
16/10/2008;08:00:01;-0.928;1;96.61
16/10/2008;10:00:01;7.126;0;61.911
16/10/2008;12:00:01;4.611;0;103.085
16/10/2008;14:00:01;3.605;0;107.267
16/10/2008;16:00:01;1.087;0;107.783
16/10/2008;18:00:01;0.08;0;110.839
16/10/2008;20:00:01;0.08;0;108.808
16/10/2008;22:00:01;0.08;0;108.808
17/10/2008;00:00:01;-0.424;1;109.318
17/10/2008;02:00:01;-0.424;1;108.296
17/10/2008;04:00:01;-0.928;1;109.827
17/10/2008;06:00:01;-1.937;1;109.318
17/10/2008;08:00:01;-3.954;1;107.783
17/10/2008;10:00:01;1.591;0;102.555
17/10/2008;12:00:01;8.131;0;93.841
17/10/2008;14:00:01;8.634;0;82.346
17/10/2008;16:00:01;7.126;0;70.804
17/10/2008;18:00:01;2.598;0;80.564
17/10/2008;20:00:01;-0.424;1;98.796
17/10/2008;22:00:01;-0.424;1;104.666
18/10/2008;00:00:01;-0.424;1;106.75
18/10/2008;02:00:01;-0.424;1;107.783
18/10/2008;04:00:01;-0.424;1;108.808
18/10/2008;06:00:01;-0.424;1;109.318
18/10/2008;08:00:01;-0.928;1;109.318
18/10/2008;10:00:01;0.583;0;108.808
18/10/2008;12:00:01;2.598;0;106.232
18/10/2008;14:00:01;5.617;0;95.508
18/10/2008;16:00:01;4.108;0;95.508
18/10/2008;18:00:01;3.605;0;95.508
18/10/2008;20:00:01;-0.928;1;104.666
18/10/2008;22:00:01;-0.424;1;100.954
19/10/2008;00:00:01;-0.928;1;101.489
19/10/2008;02:00:01;-2.441;1;94.399
19/10/2008;04:00:01;-3.449;1;88.751
19/10/2008;06:00:01;-4.458;1;76.346
19/10/2008;08:00:01;-4.458;1;81.159
19/10/2008;10:00:01;10.141;0;66.399
19/10/2008;12:00:01;10.644;0;70.804
19/10/2008;14:00:01;10.141;0;68.926
19/10/2008;16:00:01;6.623;0;68.926
19/10/2008;18:00:01;3.101;0;92.16
19/10/2008;20:00:01;0.08;0;99.878
19/10/2008;22:00:01;-0.424;1;101.489
20/10/2008;00:00:01;-0.424;1;97.159
20/10/2008;02:00:01;-1.432;1;94.954
20/10/2008;04:00:01;-1.432;1;93.283
20/10/2008;06:00:01;-1.937;1;101.489
20/10/2008;08:00:01;-1.937;1;104.141
20/10/2008;10:00:01;7.629;0;92.722
20/10/2008;12:00:01;7.126;0;86.446
20/10/2008;14:00:01;9.137;0;81.159
20/10/2008;16:00:01;7.126;0;88.751
20/10/2008;18:00:01;2.094;0;103.614
20/10/2008;20:00:01;1.591;0;107.783
20/10/2008;22:00:01;1.087;0;108.808
21/10/2008;00:00:01;-0.424;1;109.318
21/10/2008;02:00:01;0.08;0;109.318
21/10/2008;04:00:01;0.08;0;108.808
21/10/2008;06:00:01;0.08;0;109.318
21/10/2008;08:00:01;-0.424;1;109.318
21/10/2008;10:00:01;0.583;0;109.827
21/10/2008;12:00:01;4.108;0;108.808
21/10/2008;14:00:01;4.108;0;106.232
21/10/2008;16:00:01;3.101;0;106.232
21/10/2008;18:00:01;1.591;0;108.808
21/10/2008;20:00:01;1.087;0;109.318
21/10/2008;22:00:01;1.087;0;109.827
22/10/2008;00:00:01;1.087;0;109.318
22/10/2008;02:00:01;0.583;0;110.839
22/10/2008;04:00:01;0.583;0;110.333
22/10/2008;06:00:01;0.08;0;110.333
22/10/2008;08:00:01;-0.424;1;110.839
22/10/2008;10:00:01;3.101;0;110.333
22/10/2008;12:00:01;2.598;0;105.19
22/10/2008;14:00:01;1.591;0;106.232
22/10/2008;16:00:01;2.094;0;107.267
22/10/2008;18:00:01;0.583;0;109.827
22/10/2008;20:00:01;0.08;0;111.342
22/10/2008;22:00:01;0.08;0;110.333
23/10/2008;00:00:01;0.08;0;110.333
23/10/2008;02:00:01;-0.424;1;110.333
23/10/2008;04:00:01;-0.424;1;109.318
23/10/2008;06:00:01;-0.928;1;108.808
23/10/2008;08:00:01;-0.928;1;109.318
23/10/2008;10:00:01;0.08;0;106.75
23/10/2008;12:00:01;1.591;0;108.296
23/10/2008;14:00:01;2.094;0;106.232
23/10/2008;16:00:01;2.598;0;103.614
23/10/2008;18:00:01;1.087;0;106.232
23/10/2008;20:00:01;-0.424;1;109.318
23/10/2008;22:00:01;-0.424;1;110.839
24/10/2008;00:00:01;-0.424;1;107.783
24/10/2008;02:00:01;-0.928;1;107.783
24/10/2008;04:00:01;-1.937;1;107.783
24/10/2008;06:00:01;-2.441;1;109.827
24/10/2008;08:00:01;-2.945;1;108.296
24/10/2008;10:00:01;10.141;0;78.766
24/10/2008;12:00:01;10.644;0;85.865
24/10/2008;14:00:01;8.131;0;86.446
24/10/2008;16:00:01;5.114;0;89.894
24/10/2008;18:00:01;2.094;0;99.338
24/10/2008;20:00:01;0.08;0;107.783
24/10/2008;22:00:01;0.08;0;108.808
25/10/2008;00:00:01;-0.424;1;100.954
25/10/2008;02:00:01;-0.424;1;108.296
25/10/2008;04:00:01;-1.432;1;108.296
25/10/2008;06:00:01;-2.945;1;100.417
25/10/2008;08:00:01;-2.441;1;109.827
25/10/2008;10:00:01;7.629;0;84.113
25/10/2008;12:00:01;8.131;0;82.937
25/10/2008;14:00:01;7.629;0;78.766
25/10/2008;16:00:01;5.114;0;85.283
25/10/2008;18:00:01;1.591;0;99.878
25/10/2008;20:00:01;-0.424;1;107.783
25/10/2008;22:00:01;-1.432;1;108.296
26/10/2008;00:00:01;-0.928;1;104.666
26/10/2008;02:00:01;-1.937;1;103.085
26/10/2008;03:00:01;-2.441;1;106.75
26/10/2008;05:00:01;-3.449;1;103.614
26/10/2008;07:00:01;-3.449;1;91.03
26/10/2008;09:00:01;13.656;0;45.902
26/10/2008;11:00:01;13.656;0;65.125
26/10/2008;13:00:01;11.648;0;61.911
26/10/2008;15:00:01;8.634;0;66.399
26/10/2008;17:00:01;3.101;0;80.564
26/10/2008;19:00:01;-0.928;1;88.751
26/10/2008;21:00:01;-1.937;1;86.446
26/10/2008;23:00:01;0.08;0;55.358
27/10/2008;01:00:01;-1.432;1;61.263
27/10/2008;03:00:01;-1.937;1;45.214
27/10/2008;05:00:01;-2.441;1;43.14
27/10/2008;07:00:01;-0.424;1;44.525
27/10/2008;09:00:01;1.087;0;49.317
27/10/2008;11:00:01;2.598;0;49.317
27/10/2008;13:00:01;10.644;0;45.214
27/10/2008;15:00:01;5.114;0;56.682
27/10/2008;17:00:01;1.087;0;71.426
27/10/2008;19:00:01;-0.424;1;93.841
27/10/2008;21:00:01;-1.432;1;98.796
27/10/2008;23:00:01;-1.937;1;105.19
28/10/2008;01:00:01;-2.441;1;107.267
28/10/2008;03:00:01;-2.945;1;108.296
28/10/2008;05:00:01;-3.449;1;107.783
28/10/2008;07:00:01;-3.954;1;108.296
28/10/2008;09:00:01;-1.937;1;106.75
28/10/2008;11:00:01;-1.432;1;107.267
28/10/2008;13:00:01;-1.937;1;108.296
28/10/2008;15:00:01;-0.424;1;108.808
28/10/2008;17:00:01;-0.424;1;109.318
28/10/2008;19:00:01;-0.928;1;109.827
28/10/2008;21:00:01;-0.424;1;109.827
28/10/2008;23:00:01;-0.424;1;109.318
29/10/2008;01:00:01;-0.424;1;109.318
29/10/2008;03:00:01;-0.424;1;109.827
29/10/2008;05:00:01;-0.424;1;109.827
29/10/2008;07:00:01;-0.424;1;110.333
29/10/2008;09:00:01;0.08;0;110.333
29/10/2008;11:00:01;0.08;0;109.827
29/10/2008;13:00:01;0.08;0;110.333
29/10/2008;15:00:01;0.08;0;110.333
29/10/2008;17:00:01;0.08;0;109.827
29/10/2008;19:00:01;0.08;0;109.827
29/10/2008;21:00:01;0.08;0;110.333
29/10/2008;23:00:01;0.08;0;109.827
30/10/2008;01:00:01;0.08;0;110.839
30/10/2008;03:00:01;0.08;0;110.333
30/10/2008;05:00:01;0.08;0;110.333
30/10/2008;07:00:01;0.08;0;110.333
30/10/2008;09:00:01;0.08;0;111.342
30/10/2008;11:00:01;0.08;0;110.839
30/10/2008;13:00:01;0.08;0;111.342
30/10/2008;15:00:01;0.08;0;111.342
30/10/2008;17:00:01;0.08;0;110.839
30/10/2008;19:00:01;0.08;0;110.839
30/10/2008;21:00:01;0.08;0;110.839
30/10/2008;23:00:01;0.08;0;110.333
31/10/2008;01:00:01;0.08;0;111.342
31/10/2008;03:00:01;0.08;0;110.839
31/10/2008;05:00:01;0.08;0;111.844
31/10/2008;07:00:01;0.08;0;111.844
31/10/2008;09:00:01;0.08;0;110.839
31/10/2008;11:00:01;0.08;0;110.839
31/10/2008;13:00:01;0.08;0;110.839
31/10/2008;15:00:01;0.08;0;111.844
31/10/2008;17:00:01;0.08;0;111.342
31/10/2008;19:00:01;0.08;0;111.342
31/10/2008;21:00:01;0.08;0;111.844
31/10/2008;23:00:01;0.08;0;111.342
01/11/2008;01:00:01;0.08;0;111.342
01/11/2008;03:00:01;0.08;0;110.839
01/11/2008;05:00:01;0.08;0;111.844
01/11/2008;07:00:01;0.08;0;111.844
01/11/2008;09:00:01;0.08;0;111.844
01/11/2008;11:00:01;0.08;0;110.839
01/11/2008;13:00:01;0.08;0;110.839
01/11/2008;15:00:01;0.08;0;111.342
01/11/2008;17:00:01;0.08;0;111.342
01/11/2008;19:00:01;0.08;0;110.839
01/11/2008;21:00:01;0.08;0;111.342
01/11/2008;23:00:01;0.08;0;111.342
02/11/2008;01:00:01;0.08;0;111.342
02/11/2008;03:00:01;0.08;0;112.344
02/11/2008;05:00:01;0.583;0;111.844
02/11/2008;07:00:01;0.583;0;111.342
02/11/2008;09:00:01;0.583;0;111.342
02/11/2008;11:00:01;0.583;0;111.844
02/11/2008;13:00:01;0.583;0;111.342
02/11/2008;15:00:01;0.583;0;111.342
02/11/2008;17:00:01;0.583;0;111.342
02/11/2008;19:00:01;0.583;0;110.839
02/11/2008;21:00:01;0.583;0;111.342
02/11/2008;23:00:01;0.583;0;111.844
03/11/2008;01:00:01;0.583;0;111.342
03/11/2008;03:00:01;0.583;0;111.342
03/11/2008;05:00:01;0.583;0;111.342
03/11/2008;07:00:01;0.08;0;111.342
03/11/2008;09:00:01;0.08;0;111.342
03/11/2008;11:00:01;0.08;0;111.342
03/11/2008;13:00:01;0.583;0;111.844
03/11/2008;15:00:01;0.583;0;111.342
03/11/2008;17:00:01;0.583;0;111.342
03/11/2008;19:00:01;0.583;0;111.342
03/11/2008;21:00:01;0.583;0;111.342
03/11/2008;23:00:01;0.583;0;111.844
04/11/2008;01:00:01;0.583;0;111.844
04/11/2008;03:00:01;0.583;0;111.844
04/11/2008;05:00:01;0.583;0;111.342
04/11/2008;07:00:01;0.08;0;111.844
04/11/2008;09:00:01;0.583;0;112.344
04/11/2008;11:00:01;0.583;0;111.844
04/11/2008;13:00:01;0.583;0;112.344
04/11/2008;15:00:01;0.583;0;111.342
