Jour;Heure;Temp;Gel;Hum
27/10/2008;07:00:01;19.142;0;62.793
27/10/2008;09:00:01;15.636;0;65.325
27/10/2008;11:00:01;13.632;0;33.899
27/10/2008;13:00:01;11.627;0;44.327
27/10/2008;15:00:01;6.611;0;60.235
27/10/2008;17:00:01;3.096;0;96.359
27/10/2008;19:00:01;2.594;0;99.578
27/10/2008;21:00:01;1.59;0;102.738
27/10/2008;23:00:01;2.594;0;104.295
28/10/2008;01:00:01;2.594;0;105.325
28/10/2008;03:00:01;1.59;0;106.857
28/10/2008;05:00:01;1.087;0;106.857
28/10/2008;07:00:01;0.585;0;107.365
28/10/2008;09:00:01;1.087;0;107.871
28/10/2008;11:00:01;0.585;0;107.871
28/10/2008;13:00:01;1.087;0;107.871
28/10/2008;15:00:01;1.087;0;107.365
28/10/2008;17:00:01;1.087;0;108.375
28/10/2008;19:00:01;0.585;0;108.375
28/10/2008;21:00:01;1.087;0;108.375
28/10/2008;23:00:01;1.087;0;108.877
29/10/2008;01:00:01;0.585;0;109.877
29/10/2008;03:00:01;0.585;0;108.375
29/10/2008;05:00:01;0.585;0;108.877
29/10/2008;07:00:01;0.585;0;108.877
29/10/2008;09:00:01;0.585;0;108.877
29/10/2008;11:00:01;1.087;0;109.378
29/10/2008;13:00:01;1.087;0;109.877
29/10/2008;15:00:01;0.585;0;109.378
29/10/2008;17:00:01;0.585;0;108.877
29/10/2008;19:00:01;0.585;0;108.877
29/10/2008;21:00:01;0.585;0;108.877
29/10/2008;23:00:01;0.585;0;108.375
30/10/2008;01:00:01;0.585;0;109.378
30/10/2008;03:00:01;0.585;0;108.877
30/10/2008;05:00:01;0.585;0;108.877
30/10/2008;07:00:01;0.585;0;109.877
30/10/2008;09:00:01;0.585;0;109.877
30/10/2008;11:00:01;0.585;0;109.877
30/10/2008;13:00:01;0.585;0;109.378
30/10/2008;15:00:01;0.585;0;109.378
30/10/2008;17:00:01;0.585;0;109.877
30/10/2008;19:00:01;0.585;0;109.877
30/10/2008;21:00:01;0.585;0;109.877
30/10/2008;23:00:01;0.585;0;109.877
31/10/2008;01:00:01;0.585;0;109.378
31/10/2008;03:00:01;0.585;0;109.378
31/10/2008;05:00:01;0.585;0;109.877
31/10/2008;07:00:01;0.585;0;109.877
31/10/2008;09:00:01;0.585;0;109.877
31/10/2008;11:00:01;0.585;0;109.877
31/10/2008;13:00:01;0.585;0;109.877
31/10/2008;15:00:01;0.585;0;109.877
31/10/2008;17:00:01;0.082;0;110.375
31/10/2008;19:00:01;0.585;0;110.87
31/10/2008;21:00:01;0.585;0;110.375
31/10/2008;23:00:01;1.087;0;109.378
01/11/2008;01:00:01;1.087;0;108.877
01/11/2008;03:00:01;1.087;0;102.738
01/11/2008;05:00:01;1.59;0;96.9
01/11/2008;07:00:01;2.092;0;96.9
01/11/2008;09:00:01;2.092;0;104.295
01/11/2008;11:00:01;2.594;0;100.638
01/11/2008;13:00:01;3.096;0;98.512
01/11/2008;15:00:01;3.096;0;102.738
01/11/2008;17:00:01;3.599;0;101.691
01/11/2008;19:00:01;3.599;0;102.215
01/11/2008;21:00:01;3.599;0;101.691
01/11/2008;23:00:01;4.101;0;101.166
02/11/2008;01:00:01;4.101;0;99.578
02/11/2008;03:00:01;3.599;0;97.439
02/11/2008;05:00:01;3.599;0;90.861
02/11/2008;07:00:01;4.101;0;85.196
02/11/2008;09:00:01;4.603;0;79.956
02/11/2008;11:00:01;6.611;0;65.954
02/11/2008;13:00:01;9.621;0;55.039
02/11/2008;15:00:01;7.614;0;60.235
02/11/2008;17:00:01;6.109;0;64.695
02/11/2008;19:00:01;5.607;0;64.695
02/11/2008;21:00:01;0.082;0;105.837
02/11/2008;23:00:01;0.082;0;108.375
03/11/2008;01:00:01;0.082;0;107.871
03/11/2008;03:00:01;0.082;0;107.871
03/11/2008;05:00:01;0.585;0;108.877
03/11/2008;07:00:01;0.082;0;108.375
03/11/2008;09:00:01;0.082;0;108.375
03/11/2008;11:00:01;0.585;0;107.871
03/11/2008;13:00:01;1.59;0;101.166
03/11/2008;15:00:01;1.087;0;105.325
03/11/2008;17:00:01;1.087;0;107.365
03/11/2008;19:00:01;0.585;0;103.778
03/11/2008;21:00:01;0.585;0;106.348
03/11/2008;23:00:01;0.585;0;103.259
04/11/2008;01:00:01;0.082;0;104.811
04/11/2008;03:00:01;0.585;0;102.215
04/11/2008;05:00:01;0.585;0;101.166
04/11/2008;07:00:01;0.585;0;102.738
04/11/2008;09:00:01;1.59;0;99.046
04/11/2008;11:00:01;3.096;0;96.9
04/11/2008;13:00:01;8.618;0;79.956
04/11/2008;15:00:01;4.603;0;88.615
04/11/2008;17:00:01;3.096;0;90.302
04/11/2008;19:00:01;2.594;0;91.418
04/11/2008;21:00:01;2.594;0;93.631
04/11/2008;23:00:01;1.087;0;105.837
05/11/2008;01:00:01;1.087;0;105.837
05/11/2008;03:00:01;1.087;0;103.778
05/11/2008;05:00:01;1.087;0;105.837
05/11/2008;07:00:01;0.585;0;106.857
05/11/2008;09:00:01;0.585;0;106.857
05/11/2008;11:00:01;-0.42;1;108.375
05/11/2008;13:00:01;0.082;0;105.325
05/11/2008;15:00:01;0.585;0;105.837
05/11/2008;17:00:01;0.082;0;105.325
05/11/2008;19:00:01;0.082;0;105.325
05/11/2008;21:00:01;-0.42;1;107.365
05/11/2008;23:00:01;-0.42;1;106.348
06/11/2008;01:00:01;0.082;0;104.295
06/11/2008;03:00:01;0.082;0;102.738
06/11/2008;05:00:01;-0.42;1;104.295
06/11/2008;07:00:01;-0.42;1;106.348
06/11/2008;09:00:01;-0.42;1;107.871
06/11/2008;11:00:01;0.585;0;105.325
06/11/2008;13:00:01;1.59;0;101.691
06/11/2008;15:00:01;1.087;0;103.778
06/11/2008;17:00:01;0.585;0;104.811
06/11/2008;19:00:01;0.082;0;106.348
06/11/2008;21:00:01;0.082;0;108.375
06/11/2008;23:00:01;-0.42;1;108.375
07/11/2008;01:00:01;-0.42;1;107.871
07/11/2008;03:00:01;-0.923;1;106.348
07/11/2008;05:00:01;-0.42;1;107.365
07/11/2008;07:00:01;-0.923;1;105.837
07/11/2008;09:00:01;-0.923;1;104.811
07/11/2008;11:00:01;1.59;0;103.778
07/11/2008;13:00:01;5.607;0;84.621
07/11/2008;15:00:01;3.599;0;88.615
07/11/2008;17:00:01;2.092;0;86.913
07/11/2008;19:00:01;-1.425;1;101.691
07/11/2008;21:00:01;-0.923;1;101.691
07/11/2008;23:00:01;-0.923;1;103.778
08/11/2008;01:00:01;-2.431;1;105.837
08/11/2008;03:00:01;-1.928;1;107.365
08/11/2008;05:00:01;-2.431;1;105.837
08/11/2008;07:00:01;-3.436;1;106.857
08/11/2008;09:00:01;-2.431;1;106.348
08/11/2008;11:00:01;7.112;0;101.691
08/11/2008;13:00:01;5.607;0;86.913
08/11/2008;15:00:01;3.096;0;97.439
08/11/2008;17:00:01;0.585;0;103.778
08/11/2008;19:00:01;0.585;0;100.638
08/11/2008;21:00:01;0.082;0;99.046
08/11/2008;23:00:01;-0.42;1;104.295
09/11/2008;01:00:01;-0.42;1;99.046
09/11/2008;03:00:01;-0.42;1;97.976
09/11/2008;05:00:01;0.082;0;92.528
09/11/2008;07:00:01;0.082;0;101.691
09/11/2008;09:00:01;0.585;0;104.811
09/11/2008;11:00:01;2.092;0;106.857
09/11/2008;13:00:01;6.109;0;90.861
09/11/2008;15:00:01;7.112;0;85.196
09/11/2008;17:00:01;2.594;0;99.046
09/11/2008;19:00:01;1.59;0;98.512
09/11/2008;21:00:01;1.59;0;95.817
09/11/2008;23:00:01;1.59;0;89.741
10/11/2008;01:00:01;1.59;0;75.186
10/11/2008;03:00:01;0.585;0;79.366
10/11/2008;05:00:01;1.087;0;76.987
10/11/2008;07:00:01;1.087;0;76.987
10/11/2008;09:00:01;1.59;0;76.987
10/11/2008;11:00:01;5.105;0;70.308
10/11/2008;13:00:01;5.105;0;73.976
10/11/2008;15:00:01;4.603;0;79.956
10/11/2008;17:00:01;3.096;0;90.861
10/11/2008;19:00:01;0.585;0;98.512
10/11/2008;21:00:01;0.585;0;101.691
10/11/2008;23:00:01;0.082;0;102.215
11/11/2008;01:00:01;0.585;0;105.325
11/11/2008;03:00:01;1.087;0;106.348
11/11/2008;05:00:01;1.087;0;107.365
11/11/2008;07:00:01;0.585;0;107.871
11/11/2008;09:00:01;0.585;0;106.857
11/11/2008;11:00:01;1.59;0;106.348
11/11/2008;13:00:01;2.092;0;108.375
11/11/2008;15:00:01;1.087;0;107.871
11/11/2008;17:00:01;0.082;0;107.365
11/11/2008;19:00:01;0.082;0;109.378
11/11/2008;21:00:01;0.082;0;108.375
11/11/2008;23:00:01;0.082;0;108.877
12/11/2008;01:00:01;0.082;0;109.378
12/11/2008;03:00:01;0.082;0;108.877
12/11/2008;05:00:01;0.082;0;109.378
12/11/2008;07:00:01;0.082;0;109.877
12/11/2008;09:00:01;0.082;0;109.378
12/11/2008;11:00:01;0.082;0;109.877
12/11/2008;13:00:01;0.082;0;108.877
12/11/2008;15:00:01;0.082;0;108.877
12/11/2008;17:00:01;0.082;0;108.877
12/11/2008;19:00:01;0.082;0;109.378
12/11/2008;21:00:01;0.082;0;108.877
12/11/2008;23:00:01;0.082;0;108.877
13/11/2008;01:00:01;0.082;0;109.378
