Jour;T_Mean;T_Min;T_Max;H_Moy;DJ
2008-10-09;6.89166666666667;3.122;12.668;87.2428333333333;7.895
2008-10-10;4.58741666666667;1.612;11.664;96.3864166666667;6.638
2008-10-11;4.04308333333333;1.612;10.66;97.7174166666667;6.136
2008-10-12;5.42508333333333;1.612;11.664;93.4168333333333;6.638
2008-10-13;7.93883333333333;4.128;12.668;99.8028333333333;8.398
2008-10-14;7.31058333333333;3.625;12.668;99.32275;8.1465
2008-10-15;5.80341666666667;3.122;10.158;101.251416666667;6.64
2008-10-16;5.13333333333333;2.116;9.154;103.338666666667;5.635
2008-10-17;4.16975;2.116;6.139;104.922416666667;4.1275
2008-10-18;3.24691666666667;1.612;7.647;103.09325;4.6295
2008-10-19;1.86375;0.102;5.637;104.9135;2.8695
2008-10-20;4.21058333333333;1.109;9.154;103.269833333333;5.1315
2008-10-21;5.76191666666667;3.625;9.154;106.029916666667;6.3895
2008-10-22;5.46875;2.619;8.149;103.795333333333;5.384
2008-10-23;4.37908333333333;2.116;8.149;102.380333333333;5.1325
2008-10-24;3.24675;0.606;9.656;103.394333333333;5.131
2008-10-25;2.40883333333333;0.606;6.139;104.368;3.3725
2008-10-26;1.99938461538462;0.606;4.128;104.277384615385;2.367
2008-10-27;3.33083333333333;0.606;8.149;96.1605;4.3775
2008-10-28;1.5705;0.606;2.619;107.489833333333;1.6125
2008-10-29;0.773416666666667;-0.905;1.109;109.234666666667;0.102
2008-10-30;1.109;1.109;1.109;109.627166666667;1.109
2008-10-31;0.815583333333333;0.606;1.109;109.627166666667;0.8575
2008-11-01;0.73175;0.606;1.109;110.328666666667;0.8575
2008-11-02;1.06708333333333;0.606;1.612;109.382416666667;1.109
2008-11-03;1.36075;0.606;3.625;104.51075;2.1155
2008-11-04;0.6895;0.102;2.116;108.238666666667;1.109
2008-11-05;0.857416666666667;0.102;2.116;108.127583333333;1.109
2008-11-06;0.73125;-0.402;3.122;106.0105;1.36
2008-11-07;-0.443833333333333;-2.417;1.109;103.726333333333;-0.654
2008-11-08;-1.493;-2.92;0.606;102.722;-1.157
2008-11-09;-0.149916666666667;-1.913;2.116;104.288;0.1015
2008-11-10;-0.0241666666666667;-1.913;2.619;104.895833333333;0.353
2008-11-11;0.4375;-0.402;2.619;107.732;1.1085
2008-11-12;0.521833333333333;0.102;1.109;110.016583333333;0.6055
2008-11-13;0.689833333333333;0.606;1.109;110.796333333333;0.8575
2008-11-14;0.606;0.606;0.606;111.2215;0.606
2008-11-15;0.312;0.102;0.606;111.26;0.354
2008-11-16;0.186;0.102;0.606;111.337333333333;0.354
2008-11-17;0.144;-0.402;0.606;111.103666666667;0.102
2008-11-18;-0.318;-0.402;0.102;110.17175;-0.15
2008-11-19;-0.7375;-1.409;-0.402;109.193583333333;-0.9055
2008-11-20;-0.4015;-0.905;0.606;108.34625;-0.1495
2008-11-21;-0.695416666666667;-3.424;0.606;106.660666666667;-1.409
2008-11-22;-6.61833333333333;-10.488;-4.937;106.991416666667;-7.7125
