Jour;T_Mean;T_Min;T_Max;H_Moy;DJ
2008-10-10;12.85925;-0.446;27.138;58.8951666666667;13.346
2008-10-11;4.9505;-2.459;21.637;81.365;9.589
2008-10-12;5.83191666666667;-1.956;22.137;73.4160833333333;10.0905
2008-10-13;5.75408333333333;1.064;18.132;97.7935833333333;9.598
2008-10-14;5.74933333333333;0.058;21.637;92.81575;10.8475
2008-10-15;7.91716666666667;-0.446;28.638;82.1271666666667;14.096
2008-10-16;0.518333333333333;-1.956;4.584;100.915166666667;1.314
2008-10-17;3.10983333333333;-5.481;17.13;86.9106666666667;5.8245
2008-10-18;0.894416666666667;-3.466;10.611;100.276583333333;3.5725
2008-10-19;4.15;-5.985;24.639;73.593;9.327
2008-10-20;2.52808333333333;-2.459;11.615;88.7785;4.578
2008-10-21;0.853916666666667;-0.949;4.081;109.191166666667;1.566
2008-10-22;0.89625;-0.446;3.076;108.798333333333;1.315
2008-10-23;0.22475;-2.459;4.081;106.813333333333;0.811
2008-10-24;2.02291666666667;-3.97;17.631;99.1320833333333;6.8305
2008-10-25;2.733;-4.977;17.631;92.4345;6.327
2008-10-26;4.56907692307692;-3.97;26.639;74.7410769230769;11.3345
2008-10-27;1.77208333333333;-2.459;19.134;55.2101666666667;8.3375
2008-10-28;-1.78816666666667;-3.97;-0.446;108.45325;-2.208
2008-10-29;-0.487666666666667;-0.949;0.058;110.368333333333;-0.4455
2008-10-30;-0.781333333333333;-0.949;-0.446;110.69;-0.6975
2008-10-31;-0.235916666666667;-0.949;0.058;111.091083333333;-0.4455
2008-11-01;-0.152;-0.446;0.058;111.731416666667;-0.194
2008-11-02;0.058;0.058;0.058;111.96975;0.058
2008-11-03;-0.152;-0.446;0.058;112.289333333333;-0.194
2008-11-04;-0.446;-0.446;-0.446;112.329;-0.446
2008-11-05;-0.32;-0.446;0.058;112.60675;-0.194
2008-11-06;-0.446;-0.446;-0.446;112.963;-0.446
2008-11-07;-0.44575;-0.949;0.058;113.120416666667;-0.4455
2008-11-08;-0.823083333333333;-1.452;0.058;112.645416666667;-0.697
2008-11-09;-0.445666666666667;-0.949;0.058;113.16025;-0.4455
2008-11-10;-0.781166666666667;-1.452;0.058;113.316583333333;-0.697
2008-11-11;-0.445583333333333;-0.949;0.058;113.474916666667;-0.4455
2008-11-12;-0.32;-0.446;0.058;113.6715;-0.194
2008-11-13;-0.739416666666667;-0.949;-0.446;113.3945;-0.6975
2008-11-14;-0.991;-1.956;-0.446;113.238916666667;-1.201
2008-11-15;-1.74608333333333;-2.963;-0.949;112.804166666667;-1.956
2008-11-16;-2.24958333333333;-2.963;-0.949;112.2485;-1.956
2008-11-17;-2.711;-3.97;-1.452;112.248666666667;-2.711
2008-11-18;-2.92091666666667;-4.474;-1.956;111.810833333333;-3.215
2008-11-19;-3.46641666666667;-4.474;-1.956;111.452166666667;-3.215
2008-11-20;-3.00475;-3.97;-1.452;111.4515;-2.711
2008-11-21;-2.41725;-3.97;-1.452;112.166916666667;-2.711
2008-11-22;-4.60008333333333;-6.993;-1.452;110.5225;-4.2225
2008-11-23;-6.36308333333333;-8.001;-4.474;109.516666666667;-6.2375
2008-11-24;-3.1725;-3.97;-2.459;111.730083333333;-3.2145
2008-11-25;-2.41725;-2.963;-1.956;112.090166666667;-2.4595
2008-11-26;-3.00466666666667;-3.466;-2.459;112.01025;-2.9625
