Jour;T_Mean;T_Min;T_Max;H_Moy;DJ
2008-10-27;9.21577777777778;2.135;19.188;69.8276666666667;10.6615
2008-10-28;0.417583333333333;-1.384;2.637;108.27525;0.6265
2008-10-29;-0.0426666666666667;-0.378;0.125;109.1895;-0.1265
2008-10-30;0.292333333333333;0.125;0.627;109.478833333333;0.376
2008-10-31;0.208666666666667;0.125;0.627;109.643333333333;0.376
2008-11-01;2.344;0.125;4.144;105.21625;2.1345
2008-11-02;5.315;0.125;11.171;78.4484166666667;5.648
2008-11-03;0.962166666666667;0.125;2.637;107.63575;1.381
2008-11-04;2.67858333333333;0.627;9.164;96.7304166666667;4.8955
2008-11-05;0.62725;0.125;1.632;106.84325;0.8785
2008-11-06;0.543583333333333;-0.378;2.135;105.856166666667;0.8785
2008-11-07;1.38016666666667;-1.384;7.659;95.8725;3.1375
2008-11-08;1.33591666666667;-2.893;17.185;95.4581666666667;7.146
2008-11-09;2.38541666666667;-0.378;9.666;94.6595833333333;4.644
2008-11-10;3.47341666666667;0.627;12.174;77.2624166666667;6.4005
2008-11-11;0.962416666666667;0.125;2.135;108.355083333333;1.13
2008-11-12;0.2505;0.125;0.627;110.138;0.376
2008-11-13;0.125;0.125;0.125;110.752666666667;0.125
2008-11-14;0.208666666666667;0.125;0.627;110.67175;0.376
2008-11-15;-0.252333333333333;-1.384;0.627;111.121583333333;-0.3785
2008-11-16;-0.33625;-1.384;1.13;104.963083333333;-0.127
2008-11-17;-0.7555;-3.396;0.627;106.689333333333;-1.3845
2008-11-18;-1.84516666666667;-3.899;0.627;106.441166666667;-1.636
2008-11-19;-1.25958333333333;-4.402;8.662;96.1866666666667;2.13
2008-11-20;-1.30066666666667;-4.402;2.135;93.44275;-1.1335
2008-11-21;-0.881;-2.893;0.125;109.642583333333;-1.384
2008-11-22;-0.839083333333333;-0.881;-0.378;110.17925;-0.6295
2008-11-23;-0.881;-0.881;-0.881;110.589666666667;-0.881
2008-11-24;-0.419916666666667;-0.881;-0.378;110.876666666667;-0.6295
