site,sample,N,C,SiteQuad
CHA,COM 2-2,2.69148612,30.15421104,CHA-2
CHA,COM 1-2,3.198240519,34.27297592,CHA-1
CHA,COM 1-3,3.220152855,37.9419899,CHA-1
CHA,COM 2-1,3.296996832,37.34011841,CHA-2
CHA,COM 3-3,2.341427803,31.32871628,CHA-3
CHA,COM 3-1,2.651842833,35.56865692,CHA-3
CHA,COM 3-2,2.670449734,36.27639389,CHA-3
CHA,COM 1-1,3.360178947,43.24417496,CHA-1
CHA,COM 2-3,3.168819666,37.9798584,CHA-2
GAL,GAL 1-2,0.606688559,11.38846684,GAL-1
GAL,GAL 1-1,0.820117652,14.78660107,GAL-1
GAL,GAL 2-3,0.511265814,9.699347496,GAL-2
GAL,GAL 3-1,0.410303146,8.883309364,GAL-3
GAL,GAL 2-1,1.566932082,27.12547874,GAL-2
GAL,GAL 3-3,0.458807349,8.57265377,GAL-3
GAL,GAL 2-2,1.316995859,21.66077423,GAL-2
GAL,GAL 1-3,0.577371836,10.79002666,GAL-1
GAL,GAL 3-2,0.430216312,7.495458603,GAL-3
BRU,GOR 1-1,2.782687664,44.27130127,BRU-1
BRU,GOR 2-3,2.656461,44.00003815,BRU-2
BRU,GOR 2-2,2.494829178,38.54893875,BRU-2
BRU,GOR 1-3,2.802648067,51.52127457,BRU-1
BRU,GOR 1-2,2.648180008,43.43222046,BRU-1
BRU,GOR 2-1,2.71576643,42.30595398,BRU-2
LAU,LAU 1-2,0.059729528,5.429934978,LAU-1
LAU,LAU 1-1,0.086678825,4.510700226,LAU-1
LAU,LAV 3-3,0.165473476,4.522424221,LAU-3
LAU,LAV 2-2,0.11717099,4.279437065,LAU-2
LAU,LAV 3-1,0.601748288,9.539250374,LAU-3
LAU,LAV 3-2,0.255093336,6.030455589,LAU-3
LAU,LAV 2-1,0.128697217,3.752882719,LAU-2
LAU,LAV 1-3,0.076820433,4.235524654,LAU-1
LAU,LAV 2-3,0.108250752,4.38638258,LAU-2
PIC,PIC 2-2,0.153511316,1.345693469,PIC-2
PIC,PIC 2-1,0.149740249,1.316644788,PIC-2
PIC,PIC 3-2,0.112627193,0.896312833,PIC-3
PIC,PIC 1-1,0.118015043,0.792638421,PIC-1
PIC,PIC 1-3,0.085024811,0.398925841,PIC-1
PIC,PIC 4-3,0.111194409,0.805506289,PIC-4
PIC,PIC 3-1,0.08719679,0.619528294,PIC-3
PIC,PIC 4-1,0.074898407,0.61140728,PIC-4
PIC,PIC 2-3,0.077643782,0.523429453,PIC-2
PIC,PIC 3-3,0.095579579,0.528659821,PIC-3
PIC,PIC 4-2,0.183967084,2.019507408,PIC-4
PIC,PIC 1-2,0.106321633,0.752675295,PIC-1
VIL,VIL 2-3,1.022575736,13.89595699,VIL-2
VIL,VIL 1-2,1.197065473,12.55000305,VIL-1
VIL,VIL 3-1,0.622173429,10.36294174,VIL-3
VIL,VIL 3-3,1.132555842,12.21403313,VIL-3
VIL,VIL 2-1,1.158857703,15.66050339,VIL-2
VIL,VIL 1-3,1.467634082,15.75717926,VIL-1
VIL,VIL 1-1,1.311981797,13.75737381,VIL-1
VIL,VIL 3-2,1.275789142,13.89720821,VIL-3
VIL,VIL 2-2,1.213828683,14.26170158,VIL-2
