Species	Species_id	Braun-Blanquet	Site	Quadrat	Id
Acer pseudoplatanus / platanoides?	Acer pseudoplatanus	+	BRU	1	BRU-1
Arabis alpina	Arabis alpina	+	BRU	1	BRU-1
Arabis turrita	Arabis turrita	+	BRU	1	BRU-1
Fraxinus excelsior	Fraxinus excelsior	2	BRU	1	BRU-1
Gallium odoratum	Galium odoratum	2	BRU	1	BRU-1
Geranium robertiana	Geranium robertiana	1	BRU	1	BRU-1
Medica nutans ?	Melica nutans	+	BRU	1	BRU-1
Mnium undulatum ?	Mnium undulatum	4	BRU	1	BRU-1
Moeringa muscosa	Moehringia muscosa	4	BRU	1	BRU-1
Oxalis acetosella	Oxalis acetosella	+	BRU	1	BRU-1
Valeriana tripteris	Valeriana tripteris	2	BRU	1	BRU-1
Acer pseudoplatanus / platanoides?	Acer pseudoplatanus	+	BRU	2	BRU-2
Arabis alpina	Arabis alpina	+	BRU	2	BRU-2
Arabis turrita	Arabis turrita	+	BRU	2	BRU-2
Fraxinus excelsior	Fraxinus excelsior	2	BRU	2	BRU-2
Gallium odoratum	Galium odoratum	2	BRU	2	BRU-2
Geranium robertiana	Geranium robertiana	1	BRU	2	BRU-2
Medica nutans ?	Melica nutans	+	BRU	2	BRU-2
Mnium undulatum ?	Mnium undulatum	4	BRU	2	BRU-2
Moeringa muscosa	Moehringia muscosa	4	BRU	2	BRU-2
Oxalis acetosella	Oxalis acetosella	+	BRU	2	BRU-2
Valeriana tripteris	Valeriana tripteris	2	BRU	2	BRU-2
(mousse rustique) - Dicronum?	Dicronum sp	2	CHA	1	CHA-1
Arabis alpina	Arabis alpina	1	CHA	1	CHA-1
Cerastium arvense ssp strictum	Cerastium arvense ssp strictum	1	CHA	1	CHA-1
Chaerophyllum aureum	Chaerophyllum aureum	1	CHA	1	CHA-1
Chenopodium bonus-henricus	Chenopodium bonus-henricus	2	CHA	1	CHA-1
Dactylis glomerata	Dactylis glomerata	+	CHA	1	CHA-1
Epilobium angustifolium	Epilobium angustifolium	+	CHA	1	CHA-1
Festuca laevigata	Festuca laevigata	1	CHA	1	CHA-1
Festuca rubra/marginata	Festuca rubra	2	CHA	1	CHA-1
Galium album	Galium album	2	CHA	1	CHA-1
Lamium galeobdolon	Lamium galeobdolon	+	CHA	1	CHA-1
Polystichum lonchitis	Polystichum lonchitis	r	CHA	1	CHA-1
Rubus fruticosus	Rubus fruticosus	1	CHA	1	CHA-1
Rumex scutatus	Rumex scutatus	+	CHA	1	CHA-1
Sedum sexangulare	Sedum sexangulare	+	CHA	1	CHA-1
Urtica dioica	Urtica dioica	1	CHA	1	CHA-1
(mousse fine)	Moss sp	2	CHA	2	CHA-2
(mousse rustique) - Dicronum?	Dicronum sp	1	CHA	2	CHA-2
Arabis alpina	Arabis alpina	1	CHA	2	CHA-2
Cerastium arvense ssp strictum	Cerastium arvense ssp strictum	2	CHA	2	CHA-2
Festuca laevigata	Festuca laevigata	4	CHA	2	CHA-2
Festuca rubra/marginata	Festuca rubra	r	CHA	2	CHA-2
Galium album	Galium album	2	CHA	2	CHA-2
Geranium robertianum	Geranium robertianum	r	CHA	2	CHA-2
Poa alpina	Poa alpina	r	CHA	2	CHA-2
Rumex scutatus	Rumex scutatus	1	CHA	2	CHA-2
Saxifraga exarata	Saxifraga exarata	r	CHA	2	CHA-2
Scabiosa lucida	Scabiosa lucida	r	CHA	2	CHA-2
Sedum sexangulare	Sedum sexangulare	r	CHA	2	CHA-2
Valeriana tripteris	Valeriana tripteris	r	CHA	2	CHA-2
(mousse fine)	Moss sp	1	CHA	3	CHA-3
(mousse rustique) - Dicronum?	Dicronum sp	3	CHA	3	CHA-3
Acinos alpinus	Acinos alpinus	2	CHA	3	CHA-3
Alchemilla conjuncta	Alchemilla conjuncta	r	CHA	3	CHA-3
Arabis alpina	Arabis alpina	+	CHA	3	CHA-3
Cerastium arvense ssp strictum	Cerastium arvense ssp strictum	1	CHA	3	CHA-3
Chaerophyllum aureum	Chaerophyllum aureum	r	CHA	3	CHA-3
Festuca heterophylla?? Deschampsia??	Festuca heterophylla	1	CHA	3	CHA-3
Festuca laevigata	Festuca laevigata	1	CHA	3	CHA-3
Festuca rubra/marginata	Festuca rubra	2	CHA	3	CHA-3
Galium album	Galium album	1	CHA	3	CHA-3
Hypericum richeri	Hypericum richeri	+	CHA	3	CHA-3
Polystichum lonchitis	Polystichum lonchitis	r	CHA	3	CHA-3
Ranunculus sp	Ranunculus sp	r	CHA	3	CHA-3
Rubus fruticosus	Rubus fruticosus	1	CHA	3	CHA-3
Rumex scutatus	Rumex scutatus	1	CHA	3	CHA-3
Saxifraga rotundifolia	Saxifraga rotundifolia	r	CHA	3	CHA-3
Scabiosa lucida	Scabiosa lucida	r	CHA	3	CHA-3
Sedum sexangulare	Sedum sexangulare	+	CHA	3	CHA-3
Urtica dioica	Urtica dioica	r	CHA	3	CHA-3
Veronica officinalis	Veronica officinalis	+	CHA	3	CHA-3
Lotus corniculatus	Lotus corniculatus	+	VIL	1	VIL-1
Arabis alpina	Arabis alpina	+	VIL	1	VIL-1
Senecio doronicum	Senecio doronicum	+	VIL	1	VIL-1
Silene vulgaris	Silene vulgaris	1	VIL	1	VIL-1
Geranium rivulare	Geranium rivulare	2	VIL	1	VIL-1
Myosotis alpestris	Myosotis alpestris	+	VIL	1	VIL-1
Poa vivipara	Poa vivipara	2	VIL	1	VIL-1
Helictotrichon pratense / Helictotrichon sedenense	Helictotrichon pratense	2	VIL	1	VIL-1
Valeriana montana	Valeriana montana	2	VIL	1	VIL-1
Alchemillia alpina	Alchemilla alpina	2	VIL	1	VIL-1
Adenostyles glabra	Adenostyles glabra	2	VIL	1	VIL-1
Dactylis glomerata	Dactylis glomerata	2	VIL	1	VIL-1
Phalaris sp ?(poaceae)	Phalaris sp	2	VIL	1	VIL-1
Polygala vulgaris / Polygala comosa	Polygala vulgaris	+	VIL	1	VIL-1
Arabis alpina	Arabis alpina	+	VIL	2	VIL-2
Silene vulgaris	Silene vulgaris	2	VIL	2	VIL-2
Geranium rivulare	Geranium rivulare	1	VIL	2	VIL-2
Carduus defloratus	Carduus defloratus	2	VIL	2	VIL-2
Adenostyles glabra	Adenostyles glabra	+	VIL	2	VIL-2
Rumex sp (cutatus? alpinus?)	Rumex cutatus	+	VIL	2	VIL-2
Scrophularia juratensis	Scrophularia juratensis	+	VIL	2	VIL-2
Poa vivipara	Poa vivipara	r	VIL	2	VIL-2
Helictotrichon pratense / Helictotrichon sedenense	Helictotrichon pratense	r	VIL	2	VIL-2
Dactylis glomerata	Dactylis glomerata	r	VIL	2	VIL-2
Arabis alpina	Arabis alpina	+	VIL	3	VIL-3
Silene vulgaris	Silene vulgaris	2	VIL	3	VIL-3
