Jour,Heure,Temp,Gel,Hum
20/10/2008,02:00:01,18.224,0,68.103
20/10/2008,04:00:01,17.723,0,66.806
20/10/2008,06:00:01,17.723,0,68.103
20/10/2008,08:00:01,17.723,0,68.749
20/10/2008,10:00:01,17.723,0,67.456
20/10/2008,12:00:01,17.723,0,70.036
20/10/2008,14:00:01,10.201,0,102.924
20/10/2008,16:00:01,9.699,0,103.477
20/10/2008,18:00:01,8.694,0,104.579
20/10/2008,20:00:01,7.69,0,104.029
20/10/2008,22:00:01,6.685,0,104.579
21/10/2008,00:00:01,7.187,0,106.219
21/10/2008,02:00:01,7.69,0,106.763
21/10/2008,04:00:01,7.187,0,106.763
21/10/2008,06:00:01,7.69,0,106.763
21/10/2008,08:00:01,7.69,0,107.845
21/10/2008,10:00:01,8.694,0,107.845
21/10/2008,12:00:01,10.201,0,106.219
21/10/2008,14:00:01,11.205,0,104.029
21/10/2008,16:00:01,10.703,0,103.477
21/10/2008,18:00:01,9.699,0,104.029
21/10/2008,20:00:01,8.694,0,106.219
21/10/2008,22:00:01,8.694,0,105.674
22/10/2008,00:00:01,8.192,0,106.219
22/10/2008,02:00:01,8.192,0,107.305
22/10/2008,04:00:01,8.192,0,107.305
22/10/2008,06:00:01,8.192,0,107.845
22/10/2008,08:00:01,8.192,0,108.921
22/10/2008,10:00:01,8.694,0,108.384
22/10/2008,12:00:01,7.69,0,107.305
22/10/2008,14:00:01,7.187,0,106.763
22/10/2008,16:00:01,6.182,0,107.305
22/10/2008,18:00:01,4.674,0,108.384
22/10/2008,20:00:01,4.172,0,108.384
22/10/2008,22:00:01,3.669,0,108.921
23/10/2008,00:00:01,3.669,0,109.456
23/10/2008,02:00:01,3.669,0,109.456
23/10/2008,04:00:01,3.669,0,109.456
23/10/2008,06:00:01,3.669,0,109.456
23/10/2008,08:00:01,3.669,0,109.99
23/10/2008,10:00:01,3.669,0,109.99
23/10/2008,12:00:01,5.177,0,108.384
23/10/2008,14:00:01,5.68,0,106.219
23/10/2008,16:00:01,5.177,0,108.384
23/10/2008,18:00:01,4.674,0,108.921
23/10/2008,20:00:01,4.674,0,108.921
23/10/2008,22:00:01,4.674,0,108.921
24/10/2008,00:00:01,3.669,0,109.456
24/10/2008,02:00:01,2.663,0,109.456
24/10/2008,04:00:01,1.657,0,110.523
24/10/2008,06:00:01,1.657,0,110.523
24/10/2008,08:00:01,1.657,0,110.523
24/10/2008,10:00:01,2.16,0,111.053
24/10/2008,12:00:01,4.674,0,110.523
24/10/2008,14:00:01,6.182,0,108.921
24/10/2008,16:00:01,6.182,0,109.456
24/10/2008,18:00:01,7.187,0,107.845
24/10/2008,20:00:01,5.68,0,109.456
24/10/2008,22:00:01,5.177,0,109.456
25/10/2008,00:00:01,5.177,0,110.523
25/10/2008,02:00:01,4.674,0,110.523
25/10/2008,04:00:01,3.669,0,109.456
25/10/2008,06:00:01,3.669,0,110.523
25/10/2008,08:00:01,4.172,0,109.99
25/10/2008,10:00:01,4.674,0,109.99
25/10/2008,12:00:01,7.69,0,109.99
25/10/2008,14:00:01,7.187,0,108.921
25/10/2008,16:00:01,7.187,0,108.384
25/10/2008,18:00:01,6.685,0,109.456
25/10/2008,20:00:01,6.182,0,109.456
25/10/2008,22:00:01,6.182,0,109.99
26/10/2008,00:00:01,6.685,0,109.456
26/10/2008,02:00:01,6.182,0,109.99
26/10/2008,03:00:01,6.182,0,109.456
26/10/2008,05:00:01,5.177,0,109.456
26/10/2008,07:00:01,4.172,0,108.921
26/10/2008,09:00:01,2.663,0,109.99
26/10/2008,11:00:01,4.674,0,109.99
26/10/2008,13:00:01,6.182,0,110.523
26/10/2008,15:00:01,6.685,0,109.99
26/10/2008,17:00:01,6.182,0,109.456
26/10/2008,19:00:01,5.68,0,109.99
26/10/2008,21:00:01,5.177,0,109.456
26/10/2008,23:00:01,4.674,0,110.523
27/10/2008,01:00:01,3.669,0,110.523
27/10/2008,03:00:01,3.166,0,111.053
27/10/2008,05:00:01,2.663,0,111.053
27/10/2008,07:00:01,2.16,0,111.583
27/10/2008,09:00:01,4.172,0,111.053
27/10/2008,11:00:01,8.192,0,110.523
27/10/2008,13:00:01,8.694,0,108.921
27/10/2008,15:00:01,7.69,0,109.456
27/10/2008,17:00:01,6.685,0,109.99
27/10/2008,19:00:01,6.685,0,109.456
27/10/2008,21:00:01,6.685,0,109.456
27/10/2008,23:00:01,6.685,0,110.523
28/10/2008,01:00:01,6.685,0,112.11
28/10/2008,03:00:01,6.685,0,112.11
28/10/2008,05:00:01,6.685,0,110.523
28/10/2008,07:00:01,6.685,0,110.523
28/10/2008,09:00:01,5.68,0,110.523
28/10/2008,11:00:01,5.177,0,111.583
28/10/2008,13:00:01,4.172,0,110.523
28/10/2008,15:00:01,3.166,0,112.11
28/10/2008,17:00:01,2.663,0,111.583
28/10/2008,19:00:01,1.657,0,113.16
28/10/2008,21:00:01,2.16,0,111.583
28/10/2008,23:00:01,1.657,0,112.636
29/10/2008,01:00:01,0.65,0,112.11
29/10/2008,03:00:01,0.147,0,112.636
29/10/2008,05:00:01,0.147,0,113.683
29/10/2008,07:00:01,0.147,0,113.16
29/10/2008,09:00:01,0.147,0,113.16
29/10/2008,11:00:01,0.65,0,112.11
29/10/2008,13:00:01,0.65,0,113.683
29/10/2008,15:00:01,0.147,0,112.636
29/10/2008,17:00:01,0.147,0,113.16
29/10/2008,19:00:01,0.147,0,113.683
29/10/2008,21:00:01,0.147,0,112.636
29/10/2008,23:00:01,0.147,0,113.16
30/10/2008,01:00:01,0.147,0,113.16
30/10/2008,03:00:01,-0.357,1,113.16
30/10/2008,05:00:01,-0.357,1,112.636
30/10/2008,07:00:01,-0.357,1,111.583
30/10/2008,09:00:01,-0.86,1,110.523
30/10/2008,11:00:01,-0.357,1,113.16
30/10/2008,13:00:01,0.147,0,111.583
30/10/2008,15:00:01,0.147,0,112.11
30/10/2008,17:00:01,0.147,0,113.16
30/10/2008,19:00:01,0.147,0,113.16
30/10/2008,21:00:01,0.147,0,112.636
30/10/2008,23:00:01,-0.357,1,112.636
31/10/2008,01:00:01,0.147,0,112.636
31/10/2008,03:00:01,0.147,0,113.683
31/10/2008,05:00:01,0.147,0,113.16
31/10/2008,07:00:01,0.65,0,113.683
31/10/2008,09:00:01,0.147,0,113.683
31/10/2008,11:00:01,0.65,0,113.16
31/10/2008,13:00:01,2.16,0,112.636
31/10/2008,15:00:01,3.166,0,111.583
31/10/2008,17:00:01,2.663,0,111.583
31/10/2008,19:00:01,3.669,0,111.053
31/10/2008,21:00:01,4.172,0,109.99
31/10/2008,23:00:01,4.674,0,109.99
01/11/2008,01:00:01,5.177,0,108.384
01/11/2008,03:00:01,5.177,0,107.305
01/11/2008,05:00:01,6.182,0,99.572
01/11/2008,07:00:01,7.187,0,95.012
01/11/2008,09:00:01,7.69,0,100.134
01/11/2008,11:00:01,9.699,0,90.35
01/11/2008,13:00:01,9.699,0,88.575
01/11/2008,15:00:01,9.197,0,92.11
01/11/2008,17:00:01,8.192,0,93.856
01/11/2008,19:00:01,7.69,0,97.874
01/11/2008,21:00:01,8.192,0,96.734
01/11/2008,23:00:01,8.192,0,95.012
02/11/2008,01:00:01,7.187,0,100.696
02/11/2008,03:00:01,6.685,0,101.255
02/11/2008,05:00:01,6.182,0,105.127
02/11/2008,07:00:01,5.68,0,107.305
02/11/2008,09:00:01,6.182,0,107.845
02/11/2008,11:00:01,7.187,0,106.219
02/11/2008,13:00:01,7.69,0,97.874
02/11/2008,15:00:01,7.187,0,99.572
02/11/2008,17:00:01,7.69,0,96.162
02/11/2008,19:00:01,7.187,0,97.305
02/11/2008,21:00:01,6.685,0,108.921
02/11/2008,23:00:01,5.68,0,109.456
03/11/2008,01:00:01,5.68,0,109.99
03/11/2008,03:00:01,6.182,0,111.053
03/11/2008,05:00:01,5.68,0,111.053
03/11/2008,07:00:01,5.68,0,109.99
03/11/2008,09:00:01,5.68,0,110.523
