Jour,Heure,Temp,Gel,Hum
09/10/2008,12:00:01,11.657,0,61.252
09/10/2008,14:00:01,10.153,0,73.054
09/10/2008,16:00:01,8.146,0,78.44
09/10/2008,18:00:01,4.632,0,94.894
09/10/2008,20:00:01,2.623,0,102.347
09/10/2008,22:00:01,2.121,0,104.418
10/10/2008,00:00:01,1.619,0,105.443
10/10/2008,02:00:01,1.116,0,104.931
10/10/2008,04:00:01,2.121,0,104.931
10/10/2008,06:00:01,1.619,0,102.347
10/10/2008,08:00:01,1.116,0,103.386
10/10/2008,10:00:01,2.623,0,99.192
10/10/2008,12:00:01,13.662,0,53.494
10/10/2008,14:00:01,9.651,0,71.23
10/10/2008,16:00:01,8.648,0,71.84
10/10/2008,18:00:01,5.134,0,91.048
10/10/2008,20:00:01,3.628,0,99.722
10/10/2008,22:00:01,2.623,0,101.302
11/10/2008,00:00:01,2.121,0,102.867
11/10/2008,02:00:01,1.619,0,104.418
11/10/2008,04:00:01,1.619,0,106.969
11/10/2008,06:00:01,1.116,0,106.969
11/10/2008,08:00:01,0.614,0,106.462
11/10/2008,10:00:01,2.121,0,101.825
11/10/2008,12:00:01,14.665,0,51.518
11/10/2008,14:00:01,8.648,0,71.84
11/10/2008,16:00:01,7.644,0,69.391
11/10/2008,18:00:01,4.13,0,84.269
11/10/2008,20:00:01,2.121,0,92.155
11/10/2008,22:00:01,2.121,0,99.722
12/10/2008,00:00:01,1.619,0,103.386
12/10/2008,02:00:01,1.619,0,106.462
12/10/2008,04:00:01,1.619,0,105.954
12/10/2008,06:00:01,1.619,0,106.462
12/10/2008,08:00:01,1.116,0,102.867
12/10/2008,10:00:01,5.134,0,88.252
12/10/2008,12:00:01,12.66,0,60.614
12/10/2008,14:00:01,12.66,0,56.755
12/10/2008,16:00:01,12.158,0,58.692
12/10/2008,18:00:01,6.64,0,81.375
12/10/2008,20:00:01,4.13,0,93.804
12/10/2008,22:00:01,3.628,0,93.804
13/10/2008,00:00:01,4.13,0,93.256
13/10/2008,02:00:01,3.628,0,95.437
13/10/2008,04:00:01,5.134,0,94.35
13/10/2008,06:00:01,6.138,0,104.418
13/10/2008,08:00:01,6.138,0,104.931
13/10/2008,10:00:01,8.146,0,105.954
13/10/2008,12:00:01,11.657,0,97.056
13/10/2008,14:00:01,12.158,0,87.122
13/10/2008,16:00:01,12.66,0,81.375
13/10/2008,18:00:01,9.651,0,95.437
13/10/2008,20:00:01,7.644,0,101.302
13/10/2008,22:00:01,5.636,0,102.347
14/10/2008,00:00:01,4.632,0,105.443
14/10/2008,02:00:01,4.13,0,104.931
14/10/2008,04:00:01,4.13,0,104.418
14/10/2008,06:00:01,3.628,0,104.931
14/10/2008,08:00:01,3.126,0,106.462
14/10/2008,10:00:01,5.134,0,102.867
14/10/2008,12:00:01,13.161,0,70.006
14/10/2008,14:00:01,12.66,0,74.263
14/10/2008,16:00:01,11.657,0,77.254
14/10/2008,18:00:01,9.149,0,95.437
14/10/2008,20:00:01,6.64,0,104.418
14/10/2008,22:00:01,7.142,0,104.418
15/10/2008,00:00:01,4.632,0,105.443
15/10/2008,02:00:01,3.628,0,105.954
15/10/2008,04:00:01,3.126,0,106.462
15/10/2008,06:00:01,2.121,0,106.969
15/10/2008,08:00:01,3.126,0,107.475
15/10/2008,10:00:01,4.13,0,105.443
15/10/2008,12:00:01,13.662,0,68.775
15/10/2008,14:00:01,9.651,0,81.375
15/10/2008,16:00:01,8.648,0,83.693
15/10/2008,18:00:01,7.142,0,88.814
15/10/2008,20:00:01,4.632,0,99.722
15/10/2008,22:00:01,4.632,0,101.825
16/10/2008,00:00:01,3.628,0,104.418
16/10/2008,02:00:01,3.126,0,103.903
16/10/2008,04:00:01,2.623,0,103.903
16/10/2008,06:00:01,1.619,0,104.931
16/10/2008,08:00:01,1.116,0,106.969
16/10/2008,10:00:01,6.64,0,97.056
16/10/2008,12:00:01,7.644,0,92.706
16/10/2008,14:00:01,9.651,0,79.619
16/10/2008,16:00:01,6.64,0,98.128
16/10/2008,18:00:01,5.134,0,105.443
16/10/2008,20:00:01,4.632,0,105.954
16/10/2008,22:00:01,4.632,0,106.969
17/10/2008,00:00:01,4.13,0,106.969
17/10/2008,02:00:01,4.13,0,107.979
17/10/2008,04:00:01,3.628,0,107.475
17/10/2008,06:00:01,3.126,0,106.462
17/10/2008,08:00:01,1.619,0,106.969
17/10/2008,10:00:01,3.126,0,105.443
17/10/2008,12:00:01,4.13,0,100.777
17/10/2008,14:00:01,6.138,0,94.894
17/10/2008,16:00:01,5.636,0,92.706
17/10/2008,18:00:01,3.126,0,105.443
17/10/2008,20:00:01,3.628,0,105.954
17/10/2008,22:00:01,1.619,0,106.969
18/10/2008,00:00:01,0.614,0,107.979
18/10/2008,02:00:01,1.116,0,108.481
18/10/2008,04:00:01,0.614,0,108.481
18/10/2008,06:00:01,0.614,0,108.981
18/10/2008,08:00:01,1.116,0,107.979
18/10/2008,10:00:01,2.121,0,104.418
18/10/2008,12:00:01,4.13,0,100.25
18/10/2008,14:00:01,8.146,0,87.122
18/10/2008,16:00:01,7.142,0,82.537
18/10/2008,18:00:01,4.632,0,92.155
18/10/2008,20:00:01,1.619,0,101.825
18/10/2008,22:00:01,1.116,0,103.386
19/10/2008,00:00:01,0.111,0,106.462
19/10/2008,02:00:01,0.111,0,106.462
19/10/2008,04:00:01,-0.392,1,106.969
19/10/2008,06:00:01,0.111,0,107.979
19/10/2008,08:00:01,-1.397,1,106.969
19/10/2008,10:00:01,0.111,0,106.462
19/10/2008,12:00:01,1.619,0,95.437
19/10/2008,14:00:01,6.138,0,77.848
19/10/2008,16:00:01,5.636,0,85.415
19/10/2008,18:00:01,2.623,0,100.777
19/10/2008,20:00:01,1.619,0,104.931
19/10/2008,22:00:01,0.614,0,107.475
20/10/2008,00:00:01,0.614,0,107.979
20/10/2008,02:00:01,0.614,0,107.979
20/10/2008,04:00:01,1.116,0,107.979
20/10/2008,06:00:01,0.614,0,108.981
20/10/2008,08:00:01,1.619,0,108.981
20/10/2008,10:00:01,2.121,0,108.481
20/10/2008,12:00:01,8.648,0,91.602
20/10/2008,14:00:01,9.149,0,83.693
20/10/2008,16:00:01,7.644,0,91.602
20/10/2008,18:00:01,6.138,0,91.048
