Jour;Heure;Temp;Gel;Hum
09/10/2008;23:59:01;15.142;0;54.506
10/10/2008;01:59:01;14.641;0;52.494
10/10/2008;03:59:01;14.641;0;51.143
10/10/2008;05:59:01;14.641;0;50.465
10/10/2008;07:59:01;12.136;0;49.104
10/10/2008;09:59:01;1.107;0;90.343
10/10/2008;11:59:01;2.11;0;91.474
10/10/2008;13:59:01;3.113;0;85.748
10/10/2008;15:59:01;3.113;0;83.408
10/10/2008;17:59:01;2.612;0;91.474
10/10/2008;19:59:01;1.608;0;93.716
10/10/2008;21:59:01;1.107;0;99.738
10/10/2008;23:59:01;0.605;0;104.508
11/10/2008;01:59:01;1.107;0;106.583
11/10/2008;03:59:01;0.605;0;107.097
11/10/2008;05:59:01;0.103;0;103.46
11/10/2008;07:59:01;0.103;0;99.738
11/10/2008;09:59:01;1.608;0;91.474
11/10/2008;11:59:01;2.11;0;79.248
11/10/2008;13:59:01;3.615;0;71.295
11/10/2008;15:59:01;3.615;0;69.418
11/10/2008;17:59:01;2.612;0;70.045
11/10/2008;19:59:01;1.107;0;88.059
11/10/2008;21:59:01;1.107;0;98.658
11/10/2008;23:59:01;1.107;0;105.029
12/10/2008;01:59:01;0.605;0;105.549
12/10/2008;03:59:01;0.103;0;100.81
12/10/2008;05:59:01;0.605;0;80.445
12/10/2008;07:59:01;1.608;0;76.832
12/10/2008;09:59:01;3.615;0;78.043
12/10/2008;11:59:01;5.12;0;70.045
12/10/2008;13:59:01;6.122;0;71.917
12/10/2008;15:59:01;7.125;0;73.773
12/10/2008;17:59:01;5.12;0;80.445
12/10/2008;19:59:01;3.615;0;86.907
12/10/2008;21:59:01;3.113;0;90.909
12/10/2008;23:59:01;3.113;0;88.059
13/10/2008;01:59:01;4.116;0;86.328
13/10/2008;03:59:01;4.618;0;87.484
13/10/2008;05:59:01;4.618;0;101.343
13/10/2008;07:59:01;4.116;0;105.549
13/10/2008;09:59:01;5.12;0;105.549
13/10/2008;11:59:01;7.125;0;105.549
13/10/2008;13:59:01;7.125;0;100.81
13/10/2008;15:59:01;7.626;0;95.93
13/10/2008;17:59:01;6.122;0;101.875
13/10/2008;19:59:01;4.618;0;103.985
13/10/2008;21:59:01;3.615;0;102.405
13/10/2008;23:59:01;3.113;0;102.405
14/10/2008;01:59:01;2.612;0;107.097
14/10/2008;03:59:01;3.113;0;105.029
14/10/2008;05:59:01;2.612;0;102.933
14/10/2008;07:59:01;2.612;0;105.029
14/10/2008;09:59:01;4.116;0;103.985
14/10/2008;11:59:01;5.621;0;97.572
14/10/2008;13:59:01;6.122;0;92.037
14/10/2008;15:59:01;6.122;0;96.479
14/10/2008;17:59:01;5.12;0;103.46
14/10/2008;19:59:01;3.615;0;106.066
14/10/2008;21:59:01;3.615;0;108.63
14/10/2008;23:59:01;2.612;0;106.583
15/10/2008;01:59:01;2.612;0;106.583
15/10/2008;03:59:01;2.11;0;101.343
