Jour;Heure;Temp;Gel;Hum
27/10/2008;07:00:01;19.188;0;65.661
27/10/2008;09:00:01;15.682;0;66.287
27/10/2008;11:00:01;13.677;0;34.357
27/10/2008;13:00:01;13.677;0;29.378
27/10/2008;15:00:01;8.662;0;42.016
27/10/2008;17:00:01;4.144;0;88.825
27/10/2008;19:00:01;3.14;0;91.61
27/10/2008;21:00:01;2.135;0;103.882
27/10/2008;23:00:01;2.637;0;106.433
28/10/2008;01:00:01;2.637;0;107.441
28/10/2008;03:00:01;1.632;0;106.938
28/10/2008;05:00:01;1.13;0;107.943
28/10/2008;07:00:01;0.125;0;108.443
28/10/2008;09:00:01;0.627;0;108.443
28/10/2008;11:00:01;0.627;0;107.943
28/10/2008;13:00:01;1.632;0;108.443
28/10/2008;15:00:01;0.125;0;108.941
28/10/2008;17:00:01;-0.378;1;108.443
28/10/2008;19:00:01;-1.384;1;108.443
28/10/2008;21:00:01;-1.384;1;108.941
28/10/2008;23:00:01;-0.378;1;108.941
29/10/2008;01:00:01;-0.378;1;109.438
29/10/2008;03:00:01;-0.378;1;108.941
29/10/2008;05:00:01;-0.378;1;109.438
29/10/2008;07:00:01;-0.378;1;108.941
29/10/2008;09:00:01;0.125;0;109.438
29/10/2008;11:00:01;0.125;0;109.438
29/10/2008;13:00:01;0.125;0;108.941
29/10/2008;15:00:01;0.125;0;108.941
29/10/2008;17:00:01;0.125;0;109.438
29/10/2008;19:00:01;0.125;0;108.941
29/10/2008;21:00:01;0.125;0;109.438
29/10/2008;23:00:01;0.125;0;108.941
30/10/2008;01:00:01;0.125;0;108.443
30/10/2008;03:00:01;0.125;0;109.933
30/10/2008;05:00:01;0.125;0;109.933
30/10/2008;07:00:01;0.627;0;109.438
30/10/2008;09:00:01;0.125;0;109.438
30/10/2008;11:00:01;0.627;0;109.933
30/10/2008;13:00:01;0.627;0;109.438
30/10/2008;15:00:01;0.627;0;109.438
30/10/2008;17:00:01;0.125;0;109.438
30/10/2008;19:00:01;0.125;0;109.438
30/10/2008;21:00:01;0.125;0;109.438
30/10/2008;23:00:01;0.125;0;109.438
31/10/2008;01:00:01;0.125;0;109.438
31/10/2008;03:00:01;0.125;0;109.438
31/10/2008;05:00:01;0.125;0;109.933
31/10/2008;07:00:01;0.125;0;109.438
31/10/2008;09:00:01;0.125;0;109.438
31/10/2008;11:00:01;0.627;0;110.426
31/10/2008;13:00:01;0.627;0;108.941
31/10/2008;15:00:01;0.125;0;110.918
31/10/2008;17:00:01;0.125;0;109.933
31/10/2008;19:00:01;0.125;0;109.438
31/10/2008;21:00:01;0.125;0;109.438
31/10/2008;23:00:01;0.125;0;108.941
01/11/2008;01:00:01;0.125;0;108.941
01/11/2008;03:00:01;0.125;0;109.438
01/11/2008;05:00:01;0.627;0;105.418
01/11/2008;07:00:01;1.13;0;102.85
01/11/2008;09:00:01;1.632;0;106.433
01/11/2008;11:00:01;2.637;0;108.443
01/11/2008;13:00:01;3.14;0;100.241
01/11/2008;15:00:01;3.14;0;109.438
01/11/2008;17:00:01;3.642;0;103.367
01/11/2008;19:00:01;3.642;0;103.882
01/11/2008;21:00:01;4.144;0;102.332
01/11/2008;23:00:01;4.144;0;101.812
02/11/2008;01:00:01;4.144;0;99.714
02/11/2008;03:00:01;4.144;0;97.055
02/11/2008;05:00:01;4.144;0;89.944
02/11/2008;07:00:01;4.144;0;83.129
02/11/2008;09:00:01;5.149;0;75.473
02/11/2008;11:00:01;9.164;0;56.724
02/11/2008;13:00:01;11.171;0;47.458
02/11/2008;15:00:01;8.662;0;53.453
02/11/2008;17:00:01;6.655;0;60.595
02/11/2008;19:00:01;6.153;0;59.954
02/11/2008;21:00:01;0.125;0;108.941
02/11/2008;23:00:01;0.125;0;108.941
03/11/2008;01:00:01;0.125;0;108.443
03/11/2008;03:00:01;0.125;0;109.933
03/11/2008;05:00:01;0.627;0;107.943
03/11/2008;07:00:01;0.627;0;109.438
03/11/2008;09:00:01;1.13;0;108.443
03/11/2008;11:00:01;1.632;0;104.907
03/11/2008;13:00:01;2.637;0;94.354
03/11/2008;15:00:01;1.632;0;108.941
03/11/2008;17:00:01;1.13;0;108.443
03/11/2008;19:00:01;0.627;0;109.933
03/11/2008;21:00:01;0.627;0;109.933
03/11/2008;23:00:01;0.627;0;110.918
04/11/2008;01:00:01;0.627;0;109.438
04/11/2008;03:00:01;0.627;0;105.926
04/11/2008;05:00:01;0.627;0;102.332
04/11/2008;07:00:01;0.627;0;104.396
04/11/2008;09:00:01;1.632;0;101.812
04/11/2008;11:00:01;3.14;0;95.439
04/11/2008;13:00:01;9.164;0;76.072
04/11/2008;15:00:01;4.647;0;84.855
04/11/2008;17:00:01;3.14;0;89.385
04/11/2008;19:00:01;3.14;0;91.61
04/11/2008;21:00:01;3.14;0;91.057
04/11/2008;23:00:01;1.632;0;108.443
05/11/2008;01:00:01;1.13;0;106.938
05/11/2008;03:00:01;1.632;0;104.396
05/11/2008;05:00:01;1.13;0;104.907
05/11/2008;07:00:01;0.627;0;108.941
05/11/2008;09:00:01;0.627;0;108.941
05/11/2008;11:00:01;0.125;0;108.941
05/11/2008;13:00:01;0.627;0;109.438
05/11/2008;15:00:01;0.627;0;106.433
05/11/2008;17:00:01;0.627;0;105.418
05/11/2008;19:00:01;0.125;0;105.418
05/11/2008;21:00:01;0.125;0;107.441
05/11/2008;23:00:01;0.125;0;104.907
06/11/2008;01:00:01;0.125;0;105.418
06/11/2008;03:00:01;0.125;0;102.85
06/11/2008;05:00:01;-0.378;1;105.418
06/11/2008;07:00:01;-0.378;1;106.938
06/11/2008;09:00:01;0.125;0;107.441
06/11/2008;11:00:01;1.13;0;108.443
06/11/2008;13:00:01;2.135;0;100.766
06/11/2008;15:00:01;1.632;0;101.29
06/11/2008;17:00:01;1.13;0;104.396
06/11/2008;19:00:01;0.627;0;107.943
06/11/2008;21:00:01;0.125;0;109.438
06/11/2008;23:00:01;0.125;0;109.933
07/11/2008;01:00:01;0.125;0;108.941
07/11/2008;03:00:01;-0.378;1;105.926
07/11/2008;05:00:01;-0.378;1;105.926
07/11/2008;07:00:01;-0.881;1;105.418
07/11/2008;09:00:01;-0.378;1;102.332
07/11/2008;11:00:01;7.659;0;79.042
07/11/2008;13:00:01;6.655;0;77.859
07/11/2008;15:00:01;4.144;0;83.706
07/11/2008;17:00:01;3.14;0;79.042
07/11/2008;19:00:01;-1.384;1;98.656
07/11/2008;21:00:01;-0.881;1;101.29
07/11/2008;23:00:01;-0.881;1;102.332
08/11/2008;01:00:01;-2.39;1;105.926
08/11/2008;03:00:01;-2.39;1;106.938
08/11/2008;05:00:01;-2.39;1;104.907
08/11/2008;07:00:01;-2.893;1;106.938
08/11/2008;09:00:01;-2.39;1;103.367
08/11/2008;11:00:01;17.185;0;44.069
08/11/2008;13:00:01;6.153;0;80.803
08/11/2008;15:00:01;3.14;0;92.713
08/11/2008;17:00:01;0.627;0;101.812
08/11/2008;19:00:01;0.627;0;99.714
08/11/2008;21:00:01;0.627;0;95.979
08/11/2008;23:00:01;0.125;0;102.332
09/11/2008;01:00:01;-0.378;1;98.124
09/11/2008;03:00:01;0.125;0;95.439
09/11/2008;05:00:01;0.125;0;89.944
09/11/2008;07:00:01;0.627;0;101.29
09/11/2008;09:00:01;1.13;0;103.882
09/11/2008;11:00:01;2.135;0;104.907
09/11/2008;13:00:01;6.153;0;92.162
09/11/2008;15:00:01;9.666;0;71.233
09/11/2008;17:00:01;3.14;0;97.055
09/11/2008;19:00:01;2.135;0;97.055
09/11/2008;21:00:01;2.135;0;95.439
09/11/2008;23:00:01;1.632;0;89.385
10/11/2008;01:00:01;2.135;0;73.666
10/11/2008;03:00:01;1.13;0;76.072
10/11/2008;05:00:01;1.13;0;73.06
10/11/2008;07:00:01;1.632;0;73.666
10/11/2008;09:00:01;2.637;0;71.844
10/11/2008;11:00:01;12.174;0;46.108
10/11/2008;13:00:01;7.157;0;61.871
10/11/2008;15:00:01;6.655;0;68.155
10/11/2008;17:00:01;4.647;0;82.55
10/11/2008;19:00:01;1.13;0;97.055
10/11/2008;21:00:01;0.627;0;101.29
10/11/2008;23:00:01;0.627;0;101.812
11/11/2008;01:00:01;0.627;0;105.926
11/11/2008;03:00:01;1.13;0;107.441
11/11/2008;05:00:01;1.13;0;107.943
11/11/2008;07:00:01;1.13;0;109.438
11/11/2008;09:00:01;1.13;0;107.441
11/11/2008;11:00:01;2.135;0;107.441
11/11/2008;13:00:01;2.135;0;108.443
