Jour;T_Mean;T_Min;T_Max;H_Moy;DJ
2008-10-20;13.6189090909091;6.685;18.224;84.4400909090909;12.4545
2008-10-21;8.77783333333333;7.187;11.205;105.987083333333;9.196
2008-10-22;6.93566666666667;3.669;8.694;107.753416666667;6.1815
2008-10-23;4.33916666666667;3.669;5.68;108.962833333333;4.6745
2008-10-24;4.04541666666667;1.657;7.187;109.765916666667;4.422
2008-10-25;5.59566666666667;3.669;7.69;109.766833333333;5.6795
2008-10-26;5.40884615384615;2.663;6.685;109.784384615385;4.674
2008-10-27;5.5955;2.16;8.694;110.299166666667;5.427
2008-10-28;4.42266666666667;1.657;6.685;111.580583333333;4.171
2008-10-29;0.27275;0.147;0.65;112.98475;0.3985
2008-10-30;-0.146916666666667;-0.86;0.147;112.458916666667;-0.3565
2008-10-31;1.866;0.147;4.674;112.236666666667;2.4105
2008-11-01;7.6895;5.177;9.699;97.0765;7.438
2008-11-02;6.7685;5.68;7.69;103.14475;6.685
2008-11-03;6.47533333333333;5.177;8.694;107.304583333333;6.9355
2008-11-04;5.93091666666667;4.172;7.69;107.693083333333;5.931
2008-11-05;5.88891666666667;4.674;7.69;109.622916666667;6.182
2008-11-06;5.17683333333333;3.166;7.187;109.536666666667;5.1765
2008-11-07;4.79975;2.16;7.69;110.697;4.925
2008-11-08;2.99775;0.147;6.685;111.183583333333;3.416
2008-11-09;4.04558333333333;1.657;7.69;110.959833333333;4.6735
2008-11-10;2.45283333333333;0.147;5.177;111.0815;2.662
2008-11-11;4.80008333333333;2.16;5.68;110.159083333333;3.92
2008-11-12;3.62691666666667;1.657;5.177;112.021583333333;3.417
2008-11-13;2.49533333333333;1.657;3.166;112.196166666667;2.4115
2008-11-14;2.70491666666667;2.16;3.669;110.160583333333;2.9145
2008-11-15;2.70491666666667;2.16;3.166;108.064;2.663
2008-11-16;2.49533333333333;2.16;3.166;107.97575;2.663
2008-11-17;4.08783333333333;3.166;5.68;107.838166666667;4.423
2008-11-18;2.36891666666667;-1.364;5.177;109.1735;1.9065
2008-11-19;1.11108333333333;-1.364;3.166;109.1725;0.901
2008-11-20;0.94325;-0.86;3.669;109.086416666667;1.4045
2008-11-21;2.66241666666667;0.65;4.674;111.182833333333;2.662
2008-11-22;-1.406;-3.379;0.147;109.82675;-1.616
2008-11-23;-3.16908333333333;-4.891;0.147;106.79275;-2.372
2008-11-24;-0.104916666666667;-1.364;0.65;112.194666666667;-0.357
2008-11-25;-1.36391666666667;-2.875;-0.357;109.67025;-1.616
2008-11-26;-3.58908333333333;-7.412;-1.867;105.432833333333;-4.6395
2008-11-27;-7.07633333333333;-9.935;-3.883;110.784083333333;-6.909
2008-11-28;-3.0855;-6.907;-0.86;111.18175;-3.8835
2008-11-29;-2.24566666666667;-5.899;0.147;111.577416666667;-2.876
2008-11-30;0.104666666666667;-0.357;1.153;110.141416666667;0.398
2008-12-01;-0.230833333333333;-0.86;0.147;112.32525;-0.3565
2008-12-02;-1.90991666666667;-6.403;-0.357;109.448;-3.38
2008-12-03;-5.14433333333333;-9.935;-1.364;110.640416666667;-5.6495
2008-12-04;-1.99375;-5.899;-0.357;112.634416666667;-3.128
2008-12-05;-0.021;-0.357;0.147;113.421416666667;-0.105
2008-12-06;0.063;-0.357;0.147;113.377416666667;-0.105
2008-12-07;-3.08516666666667;-5.395;-0.86;110.959666666667;-3.1275
2008-12-08;-5.81516666666667;-7.916;-3.883;111.402166666667;-5.8995
2008-12-09;-3.04375;-7.412;-0.357;112.935416666667;-3.8845
2008-12-10;-2.11925;-2.875;-0.86;113.202416666667;-1.8675
