Jour;T_Mean;T_Min;T_Max;H_Moy;DJ
2008-10-09;15.142;15.142;15.142;54.506;15.142
2008-10-10;5.95283333333333;0.605;14.641;78.6345833333333;7.623
2008-10-11;1.56658333333333;0.103;3.615;90.842;1.859
2008-10-12;3.322;0.103;7.125;83.6445;3.614
2008-10-13;5.161;3.113;7.626;99.9343333333333;5.3695
2008-10-14;3.991;2.612;6.122;102.908333333333;4.367
2008-10-15;3.02966666666667;1.608;5.12;97.38925;3.364
2008-10-16;1.73375;0.605;4.116;103.682166666667;2.3605
2008-10-17;-0.0225;-1.905;0.605;105.071666666667;-0.65
2008-10-18;0.897416666666667;-0.399;3.113;104.39025;1.357
2008-10-19;-0.0644166666666667;-1.905;1.608;92.4565;-0.1485
2008-10-20;1.81716666666667;0.103;5.12;106.308;2.6115
2008-10-21;2.319;1.107;3.615;109.052333333333;2.361
2008-10-22;1.94275;0.103;3.615;107.35575;1.859
2008-10-23;1.35741666666667;-0.399;3.113;104.03025;1.357
2008-10-24;0.855583333333333;-0.399;3.615;102.387;1.608
2008-10-25;1.14841666666667;-0.399;3.113;101.229;1.357
2008-10-26;0.772;0.103;1.608;97.1828333333333;0.8555
2008-10-27;0.4375;-0.901;2.612;90.7635;0.8555
2008-10-28;-0.901;-2.407;-0.399;107.150916666667;-1.403
2008-10-29;-0.399;-0.399;-0.399;110.314;-0.399
2008-10-30;-0.399;-0.399;-0.399;110.648666666667;-0.399
2008-10-31;-0.608166666666667;-0.901;-0.399;110.898833333333;-0.65
2008-11-01;-1.0265;-1.403;-0.901;110.980666666667;-1.152
2008-11-02;-0.901;-0.901;-0.901;111.14825;-0.901
2008-11-03;-0.399;-0.399;-0.399;111.564166666667;-0.399
2008-11-04;-0.399;-0.399;-0.399;112.184833333333;-0.399
2008-11-05;-0.399;-0.399;-0.399;112.35025;-0.399
2008-11-06;-0.399;-0.399;-0.399;112.598583333333;-0.399
2008-11-07;-0.399;-0.399;-0.399;112.639833333333;-0.399
2008-11-08;-0.399;-0.399;-0.399;112.886916666667;-0.399
2008-11-09;-0.315333333333333;-0.399;0.103;113.174166666667;-0.148
2008-11-10;-0.106166666666667;-0.399;0.103;113.42;-0.148
2008-11-11;0.103;0.103;0.103;113.420333333333;0.103
2008-11-12;0.0611666666666667;-0.399;0.103;113.828833333333;-0.148
2008-11-13;0.103;0.103;0.103;113.992333333333;0.103
2008-11-14;0.0611666666666667;-0.399;0.103;114.074;-0.148
2008-11-15;0.103;0.103;0.103;114.277666666667;0.103
2008-11-16;0.103;0.103;0.103;114.56275;0.103
2008-11-17;0.103;0.103;0.103;115.00875;0.103
2008-11-18;0.103;0.103;0.103;114.968333333333;0.103
2008-11-19;0.103;0.103;0.103;115.210916666667;0.103
2008-11-20;0.103;0.103;0.103;115.574666666667;0.103
2008-11-21;0.103;0.103;0.103;115.614416666667;0.103
2008-11-22;-0.106166666666667;-0.399;0.103;115.93575;-0.148
2008-11-23;-0.399;-0.399;-0.399;115.6545;-0.399
2008-11-24;-0.399;-0.399;-0.399;116.096166666667;-0.399
2008-11-25;-0.399;-0.399;-0.399;116.338333333333;-0.399
2008-11-26;-0.399;-0.399;-0.399;116.298333333333;-0.399
2008-11-27;-0.399;-0.399;-0.399;116.378416666667;-0.399
2008-11-28;-0.399;-0.399;-0.399;116.53875;-0.399
2008-11-29;-0.399;-0.399;-0.399;116.578833333333;-0.399
2008-11-30;-0.399;-0.399;-0.399;116.898833333333;-0.399
2008-12-01;-0.399;-0.399;-0.399;116.738916666667;-0.399
2008-12-02;-0.399;-0.399;-0.399;116.618916666667;-0.399
2008-12-03;-0.399;-0.399;-0.399;116.818666666667;-0.399
2008-12-04;-0.399;-0.399;-0.399;116.978833333333;-0.399
2008-12-05;-0.399;-0.399;-0.399;117.218;-0.399
2008-12-06;-0.399;-0.399;-0.399;117.178166666667;-0.399
2008-12-07;-0.399;-0.399;-0.399;117.218;-0.399
2008-12-08;-0.399;-0.399;-0.399;117.3375;-0.399
2008-12-09;-0.399;-0.399;-0.399;117.3375;-0.399
2008-12-10;-0.399;-0.399;-0.399;117.496166666667;-0.399
2008-12-11;-0.399;-0.399;-0.399;117.416833333333;-0.399
2008-12-12;-0.399;-0.399;-0.399;117.4965;-0.399
2008-12-13;-0.399;-0.399;-0.399;117.575833333333;-0.399
2008-12-14;-0.399;-0.399;-0.399;117.734833333333;-0.399
2008-12-15;-0.399;-0.399;-0.399;117.496166666667;-0.399
2008-12-16;-0.399;-0.399;-0.399;117.417;-0.399
2008-12-17;-0.399;-0.399;-0.399;117.615666666667;-0.399
2008-12-18;-0.399;-0.399;-0.399;117.655;-0.399
2008-12-19;-0.399;-0.399;-0.399;117.496666666667;-0.399
2008-12-20;-0.399;-0.399;-0.399;117.417;-0.399
2008-12-21;-0.399;-0.399;-0.399;117.417166666667;-0.399
2008-12-22;-0.399;-0.399;-0.399;117.6155;-0.399
2008-12-23;-0.399;-0.399;-0.399;117.456833333333;-0.399
2008-12-24;-0.399;-0.399;-0.399;117.5755;-0.399
2008-12-25;-0.399;-0.399;-0.399;117.7745;-0.399
2008-12-26;-0.399;-0.399;-0.399;117.576166666667;-0.399
2008-12-27;-0.399;-0.399;-0.399;117.536333333333;-0.399
2008-12-28;-0.399;-0.399;-0.399;117.576166666667;-0.399
2008-12-29;-0.399;-0.399;-0.399;117.774666666667;-0.399
2008-12-30;-0.399;-0.399;-0.399;117.616;-0.399
2008-12-31;-0.399;-0.399;-0.399;117.3775;-0.399
2009-01-01;-0.399;-0.399;-0.399;117.257666666667;-0.399
2009-01-02;-0.399;-0.399;-0.399;117.178333333333;-0.399
2009-01-03;-0.399;-0.399;-0.399;117.297333333333;-0.399
2009-01-04;-0.399;-0.399;-0.399;117.097833333333;-0.399
2009-01-05;-0.399;-0.399;-0.399;117.177833333333;-0.399
2009-01-06;-0.399;-0.399;-0.399;117.138333333333;-0.399
2009-01-07;-0.399;-0.399;-0.399;117.058333333333;-0.399
2009-01-08;-0.399;-0.399;-0.399;116.938333333333;-0.399
2009-01-09;-0.399;-0.399;-0.399;116.9385;-0.399
2009-01-10;-0.399;-0.399;-0.399;117.057333333333;-0.399
2009-01-11;-0.399;-0.399;-0.399;117.01825;-0.399
2009-01-12;-0.399;-0.399;-0.399;117.057583333333;-0.399
2009-01-13;-0.399;-0.399;-0.399;116.93825;-0.399
2009-01-14;-0.399;-0.399;-0.399;116.77825;-0.399
2009-01-15;-0.399;-0.399;-0.399;116.856333333333;-0.399
2009-01-16;-0.399;-0.399;-0.399;117.015916666667;-0.399
2009-01-17;-0.399;-0.399;-0.399;116.895;-0.399
2009-01-18;-0.399;-0.399;-0.399;116.656583333333;-0.399
2009-01-19;-0.399;-0.399;-0.399;117.057666666667;-0.399
2009-01-20;-0.399;-0.399;-0.399;116.93825;-0.399
2009-01-21;-0.399;-0.399;-0.399;116.856833333333;-0.399
2009-01-22;-0.399;-0.399;-0.399;116.818833333333;-0.399
2009-01-23;-0.399;-0.399;-0.399;116.698916666667;-0.399
2009-01-24;-0.399;-0.399;-0.399;116.819;-0.399
2009-01-25;-0.399;-0.399;-0.399;116.739;-0.399
2009-01-26;-0.399;-0.399;-0.399;117.058333333333;-0.399
2009-01-27;-0.399;-0.399;-0.399;116.938666666667;-0.399
2009-01-28;-0.399;-0.399;-0.399;116.938666666667;-0.399
2009-01-29;-0.399;-0.399;-0.399;116.779;-0.399
2009-01-30;-0.399;-0.399;-0.399;116.858666666667;-0.399
2009-01-31;-0.399;-0.399;-0.399;117.018333333333;-0.399
2009-02-01;-0.399;-0.399;-0.399;116.739;-0.399
2009-02-02;-0.399;-0.399;-0.399;116.858583333333;-0.399
2009-02-03;-0.399;-0.399;-0.399;116.818666666667;-0.399
2009-02-04;-0.399;-0.399;-0.399;116.658833333333;-0.399
2009-02-05;-0.399;-0.399;-0.399;116.739;-0.399
2009-02-06;-0.399;-0.399;-0.399;117.0185;-0.399
2009-02-07;-0.399;-0.399;-0.399;116.73875;-0.399
2009-02-08;-0.399;-0.399;-0.399;116.738916666667;-0.399
2009-02-09;-0.399;-0.399;-0.399;116.818833333333;-0.399
2009-02-10;-0.399;-0.399;-0.399;116.739;-0.399
2009-02-11;-0.399;-0.399;-0.399;116.578583333333;-0.399
2009-02-12;-0.399;-0.399;-0.399;116.618916666667;-0.399
2009-02-13;-0.399;-0.399;-0.399;116.618916666667;-0.399
2009-02-14;-0.399;-0.399;-0.399;116.658916666667;-0.399
2009-02-15;-0.399;-0.399;-0.399;116.538666666667;-0.399
2009-02-16;-0.399;-0.399;-0.399;116.49875;-0.399
2009-02-17;-0.399;-0.399;-0.399;116.618833333333;-0.399
2009-02-18;-0.399;-0.399;-0.399;116.298333333333;-0.399
2009-02-19;-0.399;-0.399;-0.399;116.3385;-0.399
2009-02-20;-0.399;-0.399;-0.399;116.53875;-0.399
2009-02-21;-0.399;-0.399;-0.399;116.498583333333;-0.399
2009-02-22;-0.399;-0.399;-0.399;116.53875;-0.399
2009-02-23;-0.399;-0.399;-0.399;116.298416666667;-0.399
2009-02-24;-0.399;-0.399;-0.399;116.498666666667;-0.399
2009-02-25;-0.399;-0.399;-0.399;116.298166666667;-0.399
2009-02-26;-0.399;-0.399;-0.399;115.895333333333;-0.399
2009-02-27;-0.399;-0.399;-0.399;116.217666666667;-0.399
2009-02-28;-0.399;-0.399;-0.399;116.335;-0.399
2009-03-01;-0.399;-0.399;-0.399;116.416416666667;-0.399
2009-03-02;-0.399;-0.399;-0.399;116.416583333333;-0.399
2009-03-03;-0.399;-0.399;-0.399;116.337083333333;-0.399
2009-03-04;-0.399;-0.399;-0.399;116.6185;-0.399
2009-03-05;-0.399;-0.399;-0.399;116.298083333333;-0.399
2009-03-06;-0.399;-0.399;-0.399;116.097333333333;-0.399
2009-03-07;-0.399;-0.399;-0.399;116.498166666667;-0.399
2009-03-08;-0.399;-0.399;-0.399;116.257916666667;-0.399
2009-03-09;-0.399;-0.399;-0.399;116.057333333333;-0.399
2009-03-10;-0.399;-0.399;-0.399;116.25775;-0.399
2009-03-11;-0.399;-0.399;-0.399;116.217916666667;-0.399
2009-03-12;-0.399;-0.399;-0.399;116.05725;-0.399
2009-03-13;-0.399;-0.399;-0.399;116.338416666667;-0.399
2009-03-14;-0.399;-0.399;-0.399;116.177833333333;-0.399
2009-03-15;-0.399;-0.399;-0.399;116.218166666667;-0.399
2009-03-16;-0.399;-0.399;-0.399;116.218166666667;-0.399
2009-03-17;-0.399;-0.399;-0.399;116.0575;-0.399
2009-03-18;-0.399;-0.399;-0.399;116.258416666667;-0.399
2009-03-19;-0.399;-0.399;-0.399;116.178;-0.399
2009-03-20;-0.399;-0.399;-0.399;116.258166666667;-0.399
2009-03-21;-0.399;-0.399;-0.399;116.218333333333;-0.399
2009-03-22;-0.399;-0.399;-0.399;116.137833333333;-0.399
2009-03-23;-0.399;-0.399;-0.399;116.218166666667;-0.399
2009-03-24;-0.399;-0.399;-0.399;116.097416666667;-0.399
2009-03-25;-0.399;-0.399;-0.399;116.057333333333;-0.399
2009-03-26;-0.399;-0.399;-0.399;116.0575;-0.399
2009-03-27;-0.399;-0.399;-0.399;116.218;-0.399
2009-03-28;-0.399;-0.399;-0.399;116.01725;-0.399
2009-03-29;-0.399;-0.399;-0.399;116.01725;-0.399
2009-03-30;-0.399;-0.399;-0.399;115.896833333333;-0.399
2009-03-31;-0.399;-0.399;-0.399;115.897;-0.399
2009-04-01;-0.399;-0.399;-0.399;115.93725;-0.399
2009-04-02;-0.399;-0.399;-0.399;115.85625;-0.399
2009-04-03;-0.399;-0.399;-0.399;115.85675;-0.399
2009-04-04;-0.399;-0.399;-0.399;115.8165;-0.399
2009-04-05;-0.399;-0.399;-0.399;115.775916666667;-0.399
2009-04-06;-0.399;-0.399;-0.399;115.897;-0.399
2009-04-07;-0.399;-0.399;-0.399;115.816333333333;-0.399
2009-04-08;-0.399;-0.399;-0.399;115.77575;-0.399
2009-04-09;-0.399;-0.399;-0.399;115.816;-0.399
2009-04-10;-0.399;-0.399;-0.399;115.7355;-0.399
2009-04-11;-0.399;-0.399;-0.399;115.7355;-0.399
2009-04-12;-0.399;-0.399;-0.399;115.776083333333;-0.399
2009-04-13;-0.399;-0.399;-0.399;115.695416666667;-0.399
2009-04-14;-0.399;-0.399;-0.399;115.574666666667;-0.399
2009-04-15;-0.399;-0.399;-0.399;115.775916666667;-0.399
2009-04-16;-0.399;-0.399;-0.399;115.73475;-0.399
2009-04-17;-0.399;-0.399;-0.399;115.813083333333;-0.399
2009-04-18;-0.399;-0.399;-0.399;116.215833333333;-0.399
2009-04-19;-0.399;-0.399;-0.399;115.77425;-0.399
2009-04-20;-0.399;-0.399;-0.399;115.694333333333;-0.399
2009-04-21;-0.399;-0.399;-0.399;115.613;-0.399
2009-04-22;-0.399;-0.399;-0.399;115.81475;-0.399
2009-04-23;-0.399;-0.399;-0.399;115.330166666667;-0.399
2009-04-24;-0.399;-0.399;-0.399;115.613833333333;-0.399
2009-04-25;-0.399;-0.399;-0.399;115.653916666667;-0.399
2009-04-26;-0.399;-0.399;-0.399;115.69525;-0.399
2009-04-27;-0.399;-0.399;-0.399;115.493416666667;-0.399
2009-04-28;-0.399;-0.399;-0.399;115.69525;-0.399
2009-04-29;-0.399;-0.399;-0.399;115.735833333333;-0.399
2009-04-30;-0.399;-0.399;-0.399;115.77575;-0.399
2009-05-01;-0.399;-0.399;-0.399;115.413;-0.399
2009-05-02;-0.399;-0.399;-0.399;115.574416666667;-0.399
2009-05-03;-0.399;-0.399;-0.399;115.61525;-0.399
2009-05-04;-0.399;-0.399;-0.399;115.655;-0.399
2009-05-05;-0.399;-0.399;-0.399;115.5745;-0.399
2009-05-06;-0.399;-0.399;-0.399;115.574666666667;-0.399
2009-05-07;-0.399;-0.399;-0.399;115.816333333333;-0.399
2009-05-08;-0.399;-0.399;-0.399;115.453583333333;-0.399
2009-05-09;-0.399;-0.399;-0.399;115.775583333333;-0.399
2009-05-10;-0.399;-0.399;-0.399;115.896416666667;-0.399
2009-05-11;-0.399;-0.399;-0.399;115.654333333333;-0.399
2009-05-12;-0.399;-0.399;-0.399;115.7345;-0.399
2009-05-13;-0.189833333333333;-0.399;0.103;115.4525;-0.148
2009-05-14;-0.148;-0.399;0.103;115.81525;-0.148
2009-05-15;-0.106166666666667;-0.399;0.103;116.458;-0.148
2009-05-16;-0.0225;-0.399;0.103;115.936583333333;-0.148
2009-05-17;0.0611666666666667;-0.399;0.103;115.85575;-0.148
2009-05-18;-0.106166666666667;-0.399;0.103;115.816333333333;-0.148
2009-05-19;-0.148;-0.399;0.103;115.735666666667;-0.148
2009-05-20;-0.0643333333333333;-0.399;0.103;115.654333333333;-0.148
