Jour;T_Mean;T_Min;T_Max;H_Moy;DJ
2008-10-10;10.6905833333333;0.058;15.626;60.93825;7.842
2008-10-11;3.99341666666667;-1.452;14.122;79.7666666666667;6.335
2008-10-12;5.54316666666667;-0.949;15.125;69.15175;7.088
2008-10-13;5.086;2.07;9.105;98.0803333333333;5.5875
2008-10-14;5.335;1.064;13.621;91.82775;7.3425
2008-10-15;5.79341666666667;0.058;17.13;81.4436666666667;8.594
2008-10-16;1.0215;-0.949;5.589;98.3519166666667;2.32
2008-10-17;0.76925;-3.97;7.599;94.3829166666667;1.8145
2008-10-18;0.601916666666667;-1.956;6.091;102.755083333333;2.0675
2008-10-19;1.47883333333333;-3.97;12.618;73.7510833333333;4.324
2008-10-20;2.31966666666667;-1.452;9.607;88.74575;4.0775
2008-10-21;1.06375;-0.446;3.579;108.013833333333;1.5665
2008-10-22;0.854333333333333;-0.446;2.573;109.135166666667;1.0635
2008-10-23;0.0993333333333333;-1.956;2.573;107.131833333333;0.3085
2008-10-24;1.35516666666667;-2.963;9.105;99.88925;3.071
2008-10-25;1.52283333333333;-2.963;9.105;93.404;3.071
2008-10-26;2.72307692307692;-2.963;14.122;72.1260769230769;5.5795
2008-10-27;1.43941666666667;-2.459;12.618;52.64525;5.0795
2008-10-28;-1.95591666666667;-3.97;-0.949;107.359416666667;-2.4595
2008-10-29;-0.403666666666667;-0.949;0.058;110.127083333333;-0.4455
2008-10-30;-0.487583333333333;-1.452;0.058;110.72475;-0.697
2008-10-31;-0.4455;-1.452;0.058;110.809833333333;-0.697
2008-11-01;-0.193916666666667;-0.949;1.064;110.93675;0.0575000000000001
2008-11-02;-0.06825;-0.446;1.064;109.311916666667;0.309
2008-11-03;-0.319833333333333;-0.949;0.058;111.022333333333;-0.4455
2008-11-04;-0.655583333333333;-0.949;-0.446;111.107333333333;-0.6975
2008-11-05;-0.194;-0.446;0.058;111.61625;-0.194
2008-11-06;-0.068;-0.446;0.058;111.573833333333;-0.194
2008-11-07;-0.152;-0.446;0.058;111.701;-0.194
2008-11-08;-0.194;-0.446;0.058;111.234166666667;-0.194
2008-11-09;-0.194;-0.446;0.058;111.743083333333;-0.194
2008-11-10;-0.152;-0.446;0.058;111.362;-0.194
2008-11-11;0.058;0.058;0.058;112.039166666667;0.058
2008-11-12;0.058;0.058;0.058;112.123666666667;0.058
2008-11-13;-0.068;-0.446;0.058;111.785666666667;-0.194
2008-11-14;-0.446;-0.446;-0.446;111.996833333333;-0.446
2008-11-15;-0.026;-0.446;0.058;112.3345;-0.194
2008-11-16;-0.026;-0.446;0.058;112.544666666667;-0.194
2008-11-17;-0.11;-0.446;0.058;111.742;-0.194
2008-11-18;-0.446;-0.446;-0.446;112.45825;-0.446
2008-11-19;-0.613666666666667;-0.949;-0.446;111.784583333333;-0.6975
2008-11-20;-0.82325;-1.452;-0.446;111.616166666667;-0.949
2008-11-21;-0.949;-1.452;-0.446;111.742666666667;-0.949
2008-11-22;-6.448;-10.019;-1.452;104.76625;-5.7355
2008-11-23;-5.31333333333333;-8.001;-3.466;107.7505;-5.7335
2008-11-24;-2.711;-3.466;-1.956;110.979583333333;-2.711
2008-11-25;-3.04683333333333;-4.474;-1.956;110.339833333333;-3.215
2008-11-26;-3.46633333333333;-3.97;-2.459;110.5965;-3.2145
2008-11-27;-3.4245;-4.977;-1.956;110.767;-3.4665
2008-11-28;-3.13066666666667;-3.97;-1.956;110.596583333333;-2.963
2008-11-29;-2.16541666666667;-3.466;-0.949;111.19125;-2.2075
2008-11-30;-1.99758333333333;-2.963;-1.452;111.445916666667;-2.2075
2008-12-01;-1.95583333333333;-2.459;-1.452;111.446833333333;-1.9555
2008-12-02;-3.38233333333333;-3.97;-2.459;109.99725;-3.2145
2008-12-03;-3.92816666666667;-5.481;-2.963;110.167;-4.222
2008-12-04;-2.96275;-3.466;-2.459;111.064166666667;-2.9625
2008-12-05;-2.543;-2.963;-2.459;111.530833333333;-2.711
2008-12-06;-2.03983333333333;-2.459;-1.956;111.954166666667;-2.2075
2008-12-07;-1.956;-1.956;-1.956;112.123666666667;-1.956
2008-12-08;-1.704;-1.956;-1.452;112.4185;-1.704
2008-12-09;-1.452;-1.452;-1.452;112.41775;-1.452
2008-12-10;-1.452;-1.452;-1.452;112.50225;-1.452
2008-12-11;-1.452;-1.452;-1.452;112.503;-1.452
2008-12-12;-1.36816666666667;-1.452;-0.949;112.796916666667;-1.2005
2008-12-13;-1.15858333333333;-1.452;-0.949;112.712916666667;-1.2005
2008-12-14;-2.33341666666667;-2.963;-0.949;111.403083333333;-1.956
2008-12-15;-1.99791666666667;-2.459;-1.956;112.080416666667;-2.2075
2008-12-16;-2.12366666666667;-2.459;-1.956;112.1655;-2.2075
2008-12-17;-1.788;-1.956;-1.452;112.752333333333;-1.704
2008-12-18;-1.95591666666667;-2.459;-1.452;112.502083333333;-1.9555
2008-12-19;-2.62691666666667;-3.466;-2.459;111.827666666667;-2.9625
2008-12-20;-3.00466666666667;-3.466;-1.956;111.743083333333;-2.711
2008-12-21;-2.54333333333333;-2.963;-1.452;111.700916666667;-2.2075
2008-12-22;-2.96266666666667;-3.97;-1.956;111.657416666667;-2.963
2008-12-23;-2.96266666666667;-3.97;-1.452;111.615166666667;-2.711
2008-12-24;-2.62716666666667;-3.97;-0.949;111.4455;-2.4595
2008-12-25;-4.89358333333333;-5.985;-3.466;109.61225;-4.7255
2008-12-26;-8.59016666666667;-11.028;-5.985;106.138083333333;-8.5065
2008-12-27;-5.81725;-7.497;-3.97;110.253916666667;-5.7335
2008-12-28;-6.11116666666667;-7.497;-4.474;109.442583333333;-5.9855
2008-12-29;-6.069;-6.489;-5.481;109.956;-5.985
2008-12-30;-5.439;-5.985;-4.977;110.979416666667;-5.481
2008-12-31;-4.38966666666667;-4.977;-3.97;111.362;-4.4735
2009-01-01;-5.06141666666667;-6.489;-3.97;110.423083333333;-5.2295
2009-01-02;-7.07708333333333;-8.506;-4.977;109.525833333333;-6.7415
2009-01-03;-8.16975;-10.019;-4.977;109.39775;-7.498
2009-01-04;-8.92625;-11.028;-5.481;109.22375;-8.2545
2009-01-05;-9.47241666666667;-11.028;-6.993;109.0105;-9.0105
2009-01-06;-8.08541666666667;-8.506;-7.497;109.442916666667;-8.0015
2009-01-07;-8.63166666666667;-10.019;-8.001;109.571666666667;-9.01
2009-01-08;-8.50566666666667;-9.514;-6.993;109.399833333333;-8.2535
2009-01-09;-6.783;-8.001;-4.977;110.426833333333;-6.489
2009-01-10;-7.077;-8.001;-4.977;110.127166666667;-6.489
2009-01-11;-7.62366666666667;-9.01;-4.474;109.695666666667;-6.742
2009-01-12;-7.07716666666667;-8.506;-4.474;109.997166666667;-6.49
2009-01-13;-7.87558333333333;-9.514;-4.977;109.566916666667;-7.2455
2009-01-14;-9.09416666666667;-10.523;-5.985;109.142333333333;-8.254
2009-01-15;-9.01016666666667;-11.028;-6.489;108.9255;-8.7585
2009-01-16;-8.338;-10.523;-4.977;109.352416666667;-7.75
2009-01-17;-6.74141666666667;-9.01;-3.97;110.466833333333;-6.49
2009-01-18;-6.825;-8.001;-5.985;110.639333333333;-6.993
2009-01-19;-5.4815;-6.993;-4.474;111.36075;-5.7335
2009-01-20;-4.474;-4.474;-4.474;111.912166666667;-4.474
2009-01-21;-4.76741666666667;-4.977;-4.474;111.658666666667;-4.7255
2009-01-22;-6.48916666666667;-9.01;-4.977;110.593416666667;-6.9935
2009-01-23;-5.10325;-5.985;-4.474;111.530666666667;-5.2295
2009-01-24;-4.68358333333333;-4.977;-4.474;111.869416666667;-4.7255
2009-01-25;-4.012;-4.474;-3.466;112.334166666667;-3.97
2009-01-26;-3.97;-3.97;-3.97;112.417916666667;-3.97
2009-01-27;-4.43183333333333;-6.993;-3.97;111.867666666667;-5.4815
2009-01-28;-6.82525;-8.506;-3.97;110.210583333333;-6.238
2009-01-29;-6.95158333333333;-9.01;-3.97;110.208;-6.49
2009-01-30;-6.74125;-8.506;-3.466;110.208833333333;-5.986
2009-01-31;-7.11958333333333;-8.506;-4.474;109.825;-6.49
2009-02-01;-5.5655;-6.993;-3.97;111.232416666667;-5.4815
2009-02-02;-5.607;-6.489;-4.977;111.531666666667;-5.733
2009-02-03;-5.439;-5.985;-4.977;111.785416666667;-5.481
2009-02-04;-4.64158333333333;-5.481;-3.97;112.1235;-4.7255
2009-02-05;-5.14525;-5.481;-4.474;111.189833333333;-4.9775
2009-02-06;-4.89325;-5.481;-4.474;111.743333333333;-4.9775
2009-02-07;-4.68358333333333;-4.977;-4.474;112.081166666667;-4.7255
2009-02-08;-5.81708333333333;-8.001;-4.474;110.97775;-6.2375
2009-02-09;-6.99333333333333;-9.01;-5.481;110.553416666667;-7.2455
2009-02-10;-5.439;-5.985;-4.977;111.7005;-5.481
2009-02-11;-8.548;-11.532;-5.985;109.95525;-8.7585
2009-02-12;-10.85975;-12.542;-9.01;108.537416666667;-10.776
2009-02-13;-11.7006666666667;-13.551;-9.514;108.19375;-11.5325
2009-02-14;-12.1213333333333;-14.056;-10.019;107.67325;-12.0375
2009-02-15;-10.7341666666667;-13.551;-6.993;108.44875;-10.272
2009-02-16;-9.30433333333333;-10.523;-6.489;109.05425;-8.506
2009-02-17;-8.63183333333333;-10.523;-6.993;109.69825;-8.758
2009-02-18;-8.50575;-11.028;-5.985;109.481416666667;-8.5065
2009-02-19;-9.76691666666667;-12.037;-5.985;108.619416666667;-9.011
2009-02-20;-9.05275;-12.037;-4.474;109.478916666667;-8.2555
2009-02-21;-8.21233333333333;-11.028;-4.474;109.692916666667;-7.751
2009-02-22;-6.90958333333333;-9.01;-3.97;110.637166666667;-6.49
2009-02-23;-7.32966666666667;-10.019;-4.474;110.208666666667;-7.2465
2009-02-24;-8.464;-10.523;-4.977;109.309666666667;-7.75
2009-02-25;-8.50675;-12.542;-3.466;109.1265;-8.004
2009-02-26;-6.78391666666667;-9.01;-2.963;110.37975;-5.9865
2009-02-27;-5.27208333333333;-8.506;-1.452;111.272083333333;-4.979
2009-02-28;-3.59291666666667;-6.993;-0.446;112.665833333333;-3.7195
2009-03-01;-3.80225;-4.474;-2.459;112.669833333333;-3.4665
2009-03-02;-3.34058333333333;-4.977;-1.452;112.92175;-3.2145
2009-03-03;-3.5925;-5.481;-1.452;112.837583333333;-3.4665
2009-03-04;-5.691;-6.993;-4.977;111.869666666667;-5.985
2009-03-05;-5.565;-5.985;-4.977;112.1225;-5.481
2009-03-06;-5.271;-5.481;-4.977;112.080583333333;-5.229
2009-03-07;-5.271;-5.481;-4.977;112.122333333333;-5.229
2009-03-08;-5.27141666666667;-6.489;-2.963;112.376333333333;-4.726
2009-03-09;-5.313;-5.481;-4.977;112.544416666667;-5.229
2009-03-10;-5.649;-6.993;-4.977;112.417416666667;-5.985
2009-03-11;-4.51575;-4.977;-3.97;112.669333333333;-4.4735
2009-03-12;-3.5505;-4.977;-1.956;113.131833333333;-3.4665
2009-03-13;-3.63441666666667;-5.985;-1.452;112.921666666667;-3.7185
2009-03-14;-3.17308333333333;-6.489;-0.446;113.380333333333;-3.4675
2009-03-15;-1.91425;-5.481;1.064;113.335666666667;-2.2085
2009-03-16;-1.411;-5.481;2.07;112.167583333333;-1.7055
2009-03-17;-0.531333333333333;-4.977;7.096;99.00525;1.0595
2009-03-18;-1.41508333333333;-7.497;11.113;81.0545833333333;1.808
2009-03-19;-3.47133333333333;-10.523;8.101;71.6384166666667;-1.211
2009-03-20;-6.02958333333333;-11.532;0.561;96.2730833333333;-5.4855
2009-03-21;-5.5265;-11.532;3.076;105.87425;-4.228
2009-03-22;-4.68766666666667;-11.028;5.589;98.58175;-2.7195
2009-03-23;-3.55341666666667;-8.506;5.086;90.609;-1.71
2009-03-24;-5.94333333333333;-8.506;-4.474;108.73825;-6.49
2009-03-25;-4.81033333333333;-9.01;-1.452;110.636083333333;-5.231
2009-03-26;-2.50141666666667;-4.474;-0.446;112.58325;-2.46
2009-03-27;-2.41766666666667;-4.977;0.058;113.423833333333;-2.4595
2009-03-28;-3.13058333333333;-4.474;-2.459;113.6345;-3.4665
2009-03-29;-2.27609090909091;-2.459;-1.956;113.604272727273;-2.2075
