Jour;T_Mean;T_Min;T_Max;H_Moy;DJ
2008-10-27;9.29577777777778;2.107;18.652;71.8651111111111;10.3795
2008-10-28;0.768333333333333;0.099;2.609;114.84075;1.354
2008-10-29;0.601;0.601;0.601;117.261666666667;0.601
2008-10-30;0.601;0.601;0.601;118.126666666667;0.601
2008-10-31;0.517333333333333;0.099;0.601;118.934083333333;0.35
2008-11-01;2.14883333333333;0.099;4.115;114.20825;2.107
2008-11-02;5.15991666666667;0.099;10.636;80.8963333333333;5.3675
2008-11-03;0.852;0.099;2.107;112.998916666667;1.103
2008-11-04;2.60883333333333;0.601;8.129;100.704;4.365
2008-11-05;0.517333333333333;-0.403;1.103;114.725833333333;0.35
2008-11-06;0.559;-0.906;3.111;112.309;1.1025
2008-11-07;0.51675;-1.91;6.123;106.3425;2.1065
2008-11-08;0.223666666666667;-2.915;6.624;107.943333333333;1.8545
2008-11-09;2.10666666666667;-0.906;8.129;101.215083333333;3.6115
2008-11-10;2.48341666666667;0.099;6.624;82.445;3.3615
2008-11-11;0.9775;-0.403;2.609;115.87825;1.103
2008-11-12;0.099;0.099;0.099;118.472666666667;0.099
2008-11-13;0.099;0.099;0.099;118.876416666667;0.099
2008-11-14;0.140833333333333;0.099;0.601;119.337833333333;0.35
2008-11-15;0.099;-0.403;0.601;120.318833333333;0.099
2008-11-16;-0.110166666666667;-0.403;0.601;116.8005;0.099
2008-11-17;-0.654583333333333;-1.408;0.099;117.262083333333;-0.6545
2008-11-18;-1.65916666666667;-2.413;-0.403;116.512083333333;-1.408
2008-11-19;-1.74291666666667;-2.915;0.601;114.668416666667;-1.157
2008-11-20;-1.65941666666667;-3.418;0.601;111.788833333333;-1.4085
2008-11-21;-0.86375;-2.915;0.099;119.16475;-1.408
2008-11-22;-0.9055;-1.91;0.099;119.97275;-0.9055
2008-11-23;-2.45466666666667;-3.418;-1.91;119.280166666667;-2.664
2008-11-24;-1.24066666666667;-1.91;-0.906;119.741666666667;-1.408
2008-11-25;-0.906;-0.906;-0.906;120.030166666667;-0.906
2008-11-26;-0.947833333333333;-1.408;-0.906;120.145583333333;-1.157
2008-11-27;-1.408;-1.408;-1.408;120.087916666667;-1.408
2008-11-28;-1.44983333333333;-1.91;-0.906;120.203333333333;-1.408
2008-11-29;-0.864;-1.408;-0.403;120.491833333333;-0.9055
2008-11-30;-1.78475;-2.413;-0.906;119.74175;-1.6595
2008-12-01;-2.20333333333333;-2.915;-1.408;119.972583333333;-2.1615
2008-12-02;-1.36616666666667;-1.408;-0.906;120.203416666667;-1.157
2008-12-03;-1.2825;-1.408;-0.906;120.60725;-1.157
2008-12-04;-1.24066666666667;-1.91;-0.906;120.20325;-1.408
2008-12-05;-1.36616666666667;-1.408;-0.906;120.145583333333;-1.157
2008-12-06;-1.11516666666667;-1.408;-0.906;120.260916666667;-1.157
2008-12-07;-0.906;-0.906;-0.906;120.780416666667;-0.906
2008-12-08;-2.32925;-5.428;-0.906;119.8;-3.167
2008-12-09;-4.465;-6.937;-2.413;112.943833333333;-4.675
2008-12-10;-2.4965;-3.92;-1.408;119.568583333333;-2.664
2008-12-11;-1.19883333333333;-1.408;-0.906;120.665083333333;-1.157
2008-12-12;-0.906;-0.906;-0.906;121.01125;-0.906
2008-12-13;-1.40816666666667;-3.418;-0.403;120.9535;-1.9105
2008-12-14;-3.04091666666667;-3.418;-2.413;119.51075;-2.9155
2008-12-15;-1.91033333333333;-2.413;-1.408;120.261083333333;-1.9105
2008-12-16;-1.408;-1.408;-1.408;120.434166666667;-1.408
2008-12-17;-1.157;-1.408;-0.906;120.953583333333;-1.157
2008-12-18;-2.24541666666667;-2.915;-1.408;120.665;-2.1615
2008-12-19;-1.74283333333333;-2.413;-1.408;120.665083333333;-1.9105
2008-12-20;-1.57533333333333;-1.91;-1.408;120.780333333333;-1.659
2008-12-21;-1.03125;-1.408;-0.403;121.011333333333;-0.9055
2008-12-22;-1.82675;-2.915;-0.906;120.087916666667;-1.9105
2008-12-23;-0.98925;-1.91;0.099;120.60725;-0.9055
2008-12-24;-1.07308333333333;-1.91;0.099;118.763;-0.9055
2008-12-25;-3.41791666666667;-4.926;-1.408;112.9975;-3.167
2008-12-26;-4.67433333333333;-5.931;-3.418;118.011833333333;-4.6745
2008-12-27;-4.42308333333333;-5.931;-1.91;118.934083333333;-3.9205
2008-12-28;-4.67425;-6.434;-2.915;118.99175;-4.6745
2008-12-29;-6.68525;-8.948;-4.926;118.011333333333;-6.937
2008-12-30;-2.4545;-3.92;-1.91;120.088;-2.915
2008-12-31;-1.36616666666667;-1.408;-0.906;120.95375;-1.157
2009-01-01;-1.86841666666667;-3.418;-1.408;120.60725;-2.413
2009-01-02;-3.08275;-3.92;-1.91;119.741583333333;-2.915
2009-01-03;-4.6745;-6.937;-2.413;119.049583333333;-4.675
2009-01-04;-4.96766666666667;-6.434;-2.915;118.588166666667;-4.6745
2009-01-05;-5.13508333333333;-5.931;-4.423;118.645666666667;-5.177
2009-01-06;-5.0095;-5.428;-4.423;118.818666666667;-4.9255
2009-01-07;-4.08791666666667;-4.926;-3.418;119.510916666667;-4.172
2009-01-08;-3.8365;-4.423;-3.418;119.16475;-3.9205
2009-01-09;-3.45966666666667;-3.92;-2.915;119.626166666667;-3.4175
2009-01-10;-3.62708333333333;-3.92;-2.915;119.5685;-3.4175
2009-01-11;-4.00408333333333;-4.423;-3.418;119.45325;-3.9205
2009-01-12;-3.29216666666667;-4.423;-2.413;120.030166666667;-3.418
2009-01-13;-2.24541666666667;-2.413;-1.408;120.3765;-1.9105
2009-01-14;-3.58525;-4.423;-2.915;119.56875;-3.669
2009-01-15;-3.627;-3.92;-2.915;119.395666666667;-3.4175
2009-01-16;-3.29208333333333;-4.423;-2.915;119.568666666667;-3.669
2009-01-17;-3.08283333333333;-4.423;-2.413;119.569;-3.418
2009-01-18;-3.25041666666667;-4.423;-2.413;119.68425;-3.418
2009-01-19;-1.65925;-2.915;-0.906;120.896;-1.9105
2009-01-20;-0.947833333333333;-1.408;-0.906;121.704083333333;-1.157
2009-01-21;-1.07333333333333;-1.408;-0.906;121.357666666667;-1.157
2009-01-22;-1.2825;-1.408;-0.906;121.242;-1.157
2009-01-23;-0.57075;-1.408;0.099;121.530916666667;-0.6545
2009-01-24;0.099;0.099;0.099;122.22375;0.099
2009-01-25;-0.0683333333333333;-0.403;0.099;122.33925;-0.152
2009-01-26;-0.193833333333333;-0.403;0.099;122.0505;-0.152
2009-01-27;-0.403;-0.403;-0.403;122.2815;-0.403
2009-01-28;-0.738333333333333;-0.906;-0.403;122.0505;-0.6545
2009-01-29;-1.19883333333333;-1.408;-0.906;121.87725;-1.157
2009-01-30;-1.2825;-1.408;-0.906;121.588583333333;-1.157
2009-01-31;-1.408;-1.408;-1.408;121.24225;-1.408
2009-02-01;-1.2825;-1.408;-0.906;121.935083333333;-1.157
2009-02-02;-1.0315;-1.408;-0.906;122.22375;-1.157
2009-02-03;-0.906;-0.906;-0.906;121.87725;-0.906
2009-02-04;-0.906;-0.906;-0.906;121.87725;-0.906
2009-02-05;-1.07333333333333;-1.408;-0.906;122.108333333333;-1.157
2009-02-06;-0.906;-0.906;-0.906;121.99275;-0.906
2009-02-07;-0.906;-0.906;-0.906;122.22375;-0.906
2009-02-08;-0.6545;-0.906;-0.403;122.166;-0.6545
2009-02-09;-0.738333333333333;-0.906;-0.403;122.397;-0.6545
2009-02-10;-0.906;-0.906;-0.906;122.397;-0.906
2009-02-11;-1.0315;-1.408;-0.906;121.99275;-1.157
2009-02-12;-1.44983333333333;-1.91;-1.408;122.0505;-1.659
2009-02-13;-2.16158333333333;-2.413;-1.408;121.530833333333;-1.9105
2009-02-14;-2.5385;-2.915;-2.413;121.357583333333;-2.664
2009-02-15;-2.915;-2.915;-2.915;121.8195;-2.915
2009-02-16;-2.74766666666667;-2.915;-2.413;121.184333333333;-2.664
2009-02-17;-2.413;-2.413;-2.413;121.646333333333;-2.413
2009-02-18;-2.07766666666667;-2.413;-1.91;121.41525;-2.1615
2009-02-19;-1.95191666666667;-2.413;-1.91;122.050583333333;-2.1615
